Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2000,2000,gigagrams,609.5308,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2001,2001,gigagrams,609.0014,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2002,2002,gigagrams,603.3939,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2003,2003,gigagrams,599.7833,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2004,2004,gigagrams,599.7251,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2005,2005,gigagrams,587.9426,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2006,2006,gigagrams,585.6742,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2007,2007,gigagrams,576.4583,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2008,2008,gigagrams,572.9795,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2009,2009,gigagrams,569.5201,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2010,2010,gigagrams,550.6101,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2011,2011,gigagrams,547.9036,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2012,2012,gigagrams,569.2048,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2013,2013,gigagrams,578.5216,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2014,2014,gigagrams,585.4142,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2015,2015,gigagrams,593.2046,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2016,2016,gigagrams,617.8673,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,104,Ireland,7225,Emissions (CH4),1711,Agriculture total,2017,2017,gigagrams,629.1875,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2000,2000,gigagrams,126885.9268,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2001,2001,gigagrams,127800.5536,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2002,2002,gigagrams,128361.7765,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2003,2003,gigagrams,128077.2919,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2004,2004,gigagrams,130195.8856,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2005,2005,gigagrams,131313.1346,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2006,2006,gigagrams,132367.734,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2007,2007,gigagrams,133698.8705,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2008,2008,gigagrams,134307.8077,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2009,2009,gigagrams,134065.7759,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2010,2010,gigagrams,135301.1351,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2011,2011,gigagrams,137564.1101,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2012,2012,gigagrams,137966.0283,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2013,2013,gigagrams,136537.4784,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2014,2014,gigagrams,137362.1957,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2015,2015,gigagrams,138988.6679,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2016,2016,gigagrams,140387.4134,A,"Aggregate, may include official, semi-official, estimated or calculated data",
GT,Agriculture Total,5000,World,7225,Emissions (CH4),1711,Agriculture total,2017,2017,gigagrams,142104.4863,A,"Aggregate, may include official, semi-official, estimated or calculated data",
