Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2511,Wheat and products,2010,2010,1000 tonnes,669,S,Standardized data
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2513,Barley and products,2010,2010,1000 tonnes,1223,S,Standardized data
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2515,Rye and products,2010,2010,1000 tonnes,0,S,Standardized data
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2516,Oats,2010,2010,1000 tonnes,148,S,Standardized data
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2520,"Cereals, Other",2010,2010,1000 tonnes,3,S,Standardized data
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2531,Potatoes and products,2010,2010,1000 tonnes,420,S,Standardized data
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2537,Sugar beet,2010,2010,1000 tonnes,0,S,Standardized data
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2542,Sugar (Raw Equivalent),2010,2010,1000 tonnes,0,S,Standardized data
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2543,"Sweeteners, Other",2010,2010,1000 tonnes,8,S,Standardized data
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2745,Honey,2010,2010,1000 tonnes,0,S,Standardized data
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2546,Beans,2010,2010,1000 tonnes,18,S,Standardized data
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2547,Peas,2010,2010,1000 tonnes,8,S,Standardized data
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2558,Rape and Mustardseed,2010,2010,1000 tonnes,28,S,Standardized data
FBSH,Food Balances (old methodology and population),104,Ireland,5511,Production,2571,Soyabean Oil,2010,2010,1000 tonnes,1,S,Standardized data
