Domain|Area|Element|Item|Year|Unit|Value
Manure applied to Soils|Afghanistan|Stocks|Cattle, dairy|2010|Head|3900000
Manure applied to Soils|Afghanistan|Manure applied to soils (N content)|Cattle, dairy|2010|kg|30210726.975
Manure applied to Soils|Afghanistan|Manure applied to soils that leaches (N content)|Cattle, dairy|2010|kg|9063218.0925
Manure applied to Soils|Afghanistan|Manure applied to soils that volatilises (N content)|Cattle, dairy|2010|kg|6042145.395
Manure applied to Soils|Afghanistan|Implied emission factor for N2O (Manure applied)|Cattle, dairy|2010|kg N2O-N/kg N|0.0143
Manure applied to Soils|Afghanistan|Emissions (N2O) (Manure applied)|Cattle, dairy|2010|gigagrams|0.6765
Manure applied to Soils|Afghanistan|Stocks|Cattle, non-dairy|2010|Head|1773000
Manure applied to Soils|Afghanistan|Manure applied to soils (N content)|Cattle, non-dairy|2010|kg|5905586.412
Manure applied to Soils|Afghanistan|Manure applied to soils that leaches (N content)|Cattle, non-dairy|2010|kg|1771675.9236
Manure applied to Soils|Afghanistan|Manure applied to soils that volatilises (N content)|Cattle, non-dairy|2010|kg|1181117.2824
Manure applied to Soils|Afghanistan|Implied emission factor for N2O (Manure applied)|Cattle, non-dairy|2010|kg N2O-N/kg N|0.0142
Manure applied to Soils|Afghanistan|Emissions (N2O) (Manure applied)|Cattle, non-dairy|2010|gigagrams|0.1322
Manure applied to Soils|Afghanistan|Stocks|Chickens, broilers|2010|Head|4688000
Manure applied to Soils|Afghanistan|Manure applied to soils (N content)|Chickens, broilers|2010|kg|918660.9722
Manure applied to Soils|Afghanistan|Manure applied to soils that leaches (N content)|Chickens, broilers|2010|kg|275598.2917
Manure applied to Soils|Afghanistan|Manure applied to soils that volatilises (N content)|Chickens, broilers|2010|kg|183732.1944
Manure applied to Soils|Afghanistan|Implied emission factor for N2O (Manure applied)|Chickens, broilers|2010|kg N2O-N/kg N|0.0143
Manure applied to Soils|Afghanistan|Emissions (N2O) (Manure applied)|Chickens, broilers|2010|gigagrams|0.0206
Manure applied to Soils|Afghanistan|Stocks|Chickens, layers|2010|Head|8200000
Manure applied to Soils|Afghanistan|Manure applied to soils (N content)|Chickens, layers|2010|kg|2395701.3564
Manure applied to Soils|Afghanistan|Manure applied to soils that leaches (N content)|Chickens, layers|2010|kg|718710.4069
Manure applied to Soils|Afghanistan|Manure applied to soils that volatilises (N content)|Chickens, layers|2010|kg|479140.2713
Manure applied to Soils|Afghanistan|Implied emission factor for N2O (Manure applied)|Chickens, layers|2010|kg N2O-N/kg N|0.0143
Manure applied to Soils|Afghanistan|Emissions (N2O) (Manure applied)|Chickens, layers|2010|gigagrams|0.0536
Manure applied to Soils|Afghanistan|Stocks|Cattle|2010|Head|5673000
Manure applied to Soils|Afghanistan|Manure applied to soils (N content)|Cattle|2010|kg|36116313.387
Manure applied to Soils|Afghanistan|Manure applied to soils that leaches (N content)|Cattle|2010|kg|10834894.0161
Manure applied to Soils|Afghanistan|Manure applied to soils that volatilises (N content)|Cattle|2010|kg|7223262.6774
Manure applied to Soils|Afghanistan|Emissions (N2O) (Manure applied)|Cattle|2010|gigagrams|0.8087
Manure applied to Soils|Afghanistan|Stocks|Poultry Birds|2010|Head|12888000
Manure applied to Soils|Afghanistan|Manure applied to soils (N content)|Poultry Birds|2010|kg|3314362.3286
Manure applied to Soils|Afghanistan|Manure applied to soils that leaches (N content)|Poultry Birds|2010|kg|994308.6986
Manure applied to Soils|Afghanistan|Manure applied to soils that volatilises (N content)|Poultry Birds|2010|kg|662872.4657
Manure applied to Soils|Afghanistan|Emissions (N2O) (Manure applied)|Poultry Birds|2010|gigagrams|0.0742
Manure applied to Soils|Afghanistan|Stocks|Sheep and Goats|2010|Head|20075000
Manure applied to Soils|Afghanistan|Manure applied to soils (N content)|Sheep and Goats|2010|kg|32099481.963
Manure applied to Soils|Afghanistan|Manure applied to soils that leaches (N content)|Sheep and Goats|2010|kg|9629844.5889
Manure applied to Soils|Afghanistan|Manure applied to soils that volatilises (N content)|Sheep and Goats|2010|kg|6419896.3926
Manure applied to Soils|Afghanistan|Emissions (N2O) (Manure applied)|Sheep and Goats|2010|gigagrams|0.7188
Manure applied to Soils|Afghanistan|Stocks|Swine|2010||0
Manure applied to Soils|Afghanistan|Manure applied to soils (N content)|Swine|2010||0
Manure applied to Soils|Afghanistan|Manure applied to soils that leaches (N content)|Swine|2010||0
Manure applied to Soils|Afghanistan|Manure applied to soils that volatilises (N content)|Swine|2010||0
Manure applied to Soils|Afghanistan|Implied emission factor for N2O (Manure applied)|Swine|2010||0
Manure applied to Soils|Afghanistan|Emissions (N2O) (Manure applied)|Swine|2010||0
Manure applied to Soils|Albania|Stocks|Cattle, dairy|2010|Head|355000
Manure applied to Soils|Albania|Manure applied to soils (N content)|Cattle, dairy|2010|kg|19371764.96
Manure applied to Soils|Albania|Manure applied to soils that leaches (N content)|Cattle, dairy|2010|kg|5811529.488
Manure applied to Soils|Albania|Manure applied to soils that volatilises (N content)|Cattle, dairy|2010|kg|3874352.992
Manure applied to Soils|Albania|Implied emission factor for N2O (Manure applied)|Cattle, dairy|2010|kg N2O-N/kg N|0.0143
Manure applied to Soils|Albania|Emissions (N2O) (Manure applied)|Cattle, dairy|2010|gigagrams|0.4338
Manure applied to Soils|Albania|Stocks|Cattle, non-dairy|2010|Head|138000
Manure applied to Soils|Albania|Manure applied to soils (N content)|Cattle, non-dairy|2010|kg|3601201.77
Manure applied to Soils|Albania|Manure applied to soils that leaches (N content)|Cattle, non-dairy|2010|kg|1080360.531
Manure applied to Soils|Albania|Manure applied to soils that volatilises (N content)|Cattle, non-dairy|2010|kg|720240.354
Manure applied to Soils|Albania|Implied emission factor for N2O (Manure applied)|Cattle, non-dairy|2010|kg N2O-N/kg N|0.0143
Manure applied to Soils|Albania|Emissions (N2O) (Manure applied)|Cattle, non-dairy|2010|gigagrams|0.0806
Manure applied to Soils|Albania|Stocks|Chickens, broilers|2010|Head|745000
Manure applied to Soils|Albania|Manure applied to soils (N content)|Chickens, broilers|2010|kg|263148.6206
Manure applied to Soils|Albania|Manure applied to soils that leaches (N content)|Chickens, broilers|2010|kg|78944.5862
Manure applied to Soils|Albania|Manure applied to soils that volatilises (N content)|Chickens, broilers|2010|kg|52629.7241
