Domain|Area|Element|Item|Year|Unit|Value
Manure left on Pasture|Afghanistan|Stocks|Cattle, dairy|2010|Head|3900000
Manure left on Pasture|Afghanistan|Manure left on pasture (N content)|Cattle, dairy|2010|kg|96593371.875
Manure left on Pasture|Afghanistan|Manure left on pasture that leaches (N content)|Cattle, dairy|2010|kg|28978011.5625
Manure left on Pasture|Afghanistan|Manure left on pasture that volatilises (N content)|Cattle, dairy|2010|kg|19318674.375
Manure left on Pasture|Afghanistan|Implied emission factor for N2O (Manure on pasture)|Cattle, dairy|2010|kg N2O-N/kg N|0.0243
Manure left on Pasture|Afghanistan|Direct emissions (N2O) (Manure on pasture)|Cattle, dairy|2010|gigagrams|3.0358
Manure left on Pasture|Afghanistan|Emissions (N2O) (Manure on pasture)|Cattle, dairy|2010|gigagrams|3.6809
Manure left on Pasture|Afghanistan|Stocks|Cattle, non-dairy|2010|Head|1773000
Manure left on Pasture|Afghanistan|Manure left on pasture (N content)|Cattle, non-dairy|2010|kg|11738563.155
Manure left on Pasture|Afghanistan|Manure left on pasture that leaches (N content)|Cattle, non-dairy|2010|kg|3521568.9465
Manure left on Pasture|Afghanistan|Manure left on pasture that volatilises (N content)|Cattle, non-dairy|2010|kg|2347712.631
Manure left on Pasture|Afghanistan|Implied emission factor for N2O (Manure on pasture)|Cattle, non-dairy|2010|kg N2O-N/kg N|0.0243
Manure left on Pasture|Afghanistan|Direct emissions (N2O) (Manure on pasture)|Cattle, non-dairy|2010|gigagrams|0.3689
Manure left on Pasture|Afghanistan|Emissions (N2O) (Manure on pasture)|Cattle, non-dairy|2010|gigagrams|0.4473
Manure left on Pasture|Afghanistan|Stocks|Chickens, broilers|2010|Head|4688000
Manure left on Pasture|Afghanistan|Manure left on pasture (N content)|Chickens, broilers|2010|kg|753833.916
Manure left on Pasture|Afghanistan|Manure left on pasture that leaches (N content)|Chickens, broilers|2010|kg|226150.1748
Manure left on Pasture|Afghanistan|Manure left on pasture that volatilises (N content)|Chickens, broilers|2010|kg|150766.7832
Manure left on Pasture|Afghanistan|Implied emission factor for N2O (Manure on pasture)|Chickens, broilers|2010|kg N2O-N/kg N|0.0243
Manure left on Pasture|Afghanistan|Direct emissions (N2O) (Manure on pasture)|Chickens, broilers|2010|gigagrams|0.0237
Manure left on Pasture|Afghanistan|Emissions (N2O) (Manure on pasture)|Chickens, broilers|2010|gigagrams|0.0287
Manure left on Pasture|Afghanistan|Stocks|Chickens, layers|2010|Head|8200000
Manure left on Pasture|Afghanistan|Manure left on pasture (N content)|Chickens, layers|2010|kg|1965862.26
Manure left on Pasture|Afghanistan|Manure left on pasture that leaches (N content)|Chickens, layers|2010|kg|589758.678
Manure left on Pasture|Afghanistan|Manure left on pasture that volatilises (N content)|Chickens, layers|2010|kg|393172.452
Manure left on Pasture|Afghanistan|Implied emission factor for N2O (Manure on pasture)|Chickens, layers|2010|kg N2O-N/kg N|0.0243
Manure left on Pasture|Afghanistan|Direct emissions (N2O) (Manure on pasture)|Chickens, layers|2010|gigagrams|0.0618
Manure left on Pasture|Afghanistan|Emissions (N2O) (Manure on pasture)|Chickens, layers|2010|gigagrams|0.0749
Manure left on Pasture|Afghanistan|Stocks|Cattle|2010|Head|5673000
Manure left on Pasture|Afghanistan|Manure left on pasture (N content)|Cattle|2010|kg|108331935.03
Manure left on Pasture|Afghanistan|Manure left on pasture that leaches (N content)|Cattle|2010|kg|32499580.509
Manure left on Pasture|Afghanistan|Manure left on pasture that volatilises (N content)|Cattle|2010|kg|21666387.006
Manure left on Pasture|Afghanistan|Direct emissions (N2O) (Manure on pasture)|Cattle|2010|gigagrams|3.4047
Manure left on Pasture|Afghanistan|Emissions (N2O) (Manure on pasture)|Cattle|2010|gigagrams|4.1282
