Domain,Area,Element,Item,Year,Unit,Value
Manure Management,Afghanistan,Stocks,Camels and Llamas,2010,Head,191000
Manure Management,Afghanistan,Manure treated (N content),Camels and Llamas,2010,kg,347947.565
Manure Management,Afghanistan,Emissions (N2O) (Manure management),Camels and Llamas,2010,gigagrams,0.0027
Manure Management,Afghanistan,Stocks,Cattle,2010,Head,5673000
Manure Management,Afghanistan,Manure treated (N content),Cattle,2010,kg,44930186.73
Manure Management,Afghanistan,Emissions (N2O) (Manure management),Cattle,2010,gigagrams,0.1014
Manure Management,Afghanistan,Stocks,Chickens,2010,Head,12888000
Manure Management,Afghanistan,Manure treated (N content),Chickens,2010,kg,3361422.24
Manure Management,Afghanistan,Emissions (N2O) (Manure management),Chickens,2010,gigagrams,0.0263
Manure Management,Afghanistan,Stocks,Mules and Asses,2010,Head,1429000
Manure Management,Afghanistan,Manure treated (N content),Mules and Asses,2010,kg,1559539.15
Manure Management,Afghanistan,Emissions (N2O) (Manure management),Mules and Asses,2010,gigagrams,0.0123
Manure Management,Afghanistan,Stocks,Poultry Birds,2010,Head,12888000
Manure Management,Afghanistan,Manure treated (N content),Poultry Birds,2010,kg,3361422.24
Manure Management,Afghanistan,Emissions (N2O) (Manure management),Poultry Birds,2010,gigagrams,0.0263
Manure Management,Afghanistan,Stocks,Sheep and Goats,2010,Head,20075000
Manure Management,Afghanistan,Manure treated (N content),Sheep and Goats,2010,kg,32099481.96
Manure Management,Afghanistan,Emissions (N2O) (Manure management),Sheep and Goats,2010,gigagrams,0.2522
Manure Management,Afghanistan,Stocks,Swine,2010,,0
Manure Management,Afghanistan,Manure treated (N content),Swine,2010,,0
Manure Management,Afghanistan,Emissions (N2O) (Manure management),Swine,2010,,0
Manure Management,Albania,Stocks,Camels and Llamas,2010,,0
Manure Management,Albania,Manure treated (N content),Camels and Llamas,2010,,0
Manure Management,Albania,Emissions (N2O) (Manure management),Camels and Llamas,2010,,0
Manure Management,Albania,Stocks,Cattle,2010,Head,493000
Manure Management,Albania,Manure treated (N content),Cattle,2010,kg,34601351.76
Manure Management,Albania,Emissions (N2O) (Manure management),Cattle,2010,gigagrams,0.421
Manure Management,Albania,Stocks,Chickens,2010,Head,5245000
Manure Management,Albania,Manure treated (N content),Chickens,2010,kg,3045296.835
Manure Management,Albania,Emissions (N2O) (Manure management),Chickens,2010,gigagrams,0.0244
Manure Management,Albania,Stocks,Mules and Asses,2010,Head,63000
Manure Management,Albania,Manure treated (N content),Mules and Asses,2010,kg,31089.24
Manure Management,Albania,Emissions (N2O) (Manure management),Mules and Asses,2010,gigagrams,0.0002
Manure Management,Albania,Stocks,Poultry Birds,2010,Head,7645000
Manure Management,Albania,Manure treated (N content),Poultry Birds,2010,kg,6266993.425
