Domain,Area,Element,Item,Year,Unit,Value,Note
Agriculture Total,Afghanistan,Emissions (N2O),Manure Management,2010,gigagrams,0.398,
Agriculture Total,Afghanistan,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.2692,
Agriculture Total,Afghanistan,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.6533,
Agriculture Total,Afghanistan,Emissions (N2O),Manure left on Pasture,2010,gigagrams,10.3302,
Agriculture Total,Albania,Emissions (N2O),Manure Management,2010,gigagrams,0.5259,
Agriculture Total,Albania,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.6516,
Agriculture Total,Albania,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.7762,
Agriculture Total,Albania,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.2471,
Agriculture Total,Algeria,Emissions (N2O),Manure Management,2010,gigagrams,0.1993,
Agriculture Total,Algeria,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.2514,
Agriculture Total,Algeria,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.4836,
Agriculture Total,Algeria,Emissions (N2O),Manure left on Pasture,2010,gigagrams,12.4087,
Agriculture Total,American Samoa,Emissions (N2O),Manure Management,2010,gigagrams,0.0014,
Agriculture Total,American Samoa,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0018,
Agriculture Total,American Samoa,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0003,
Agriculture Total,Angola,Emissions (N2O),Manure Management,2010,gigagrams,0.9366,
Agriculture Total,Angola,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.3616,
Agriculture Total,Angola,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.7759,
Agriculture Total,Angola,Emissions (N2O),Manure left on Pasture,2010,gigagrams,8.5062,
Agriculture Total,Antigua and Barbuda,Emissions (N2O),Manure Management,2010,gigagrams,0.0019,
Agriculture Total,Antigua and Barbuda,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0001,
Agriculture Total,Antigua and Barbuda,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.005,
Agriculture Total,Antigua and Barbuda,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0208,
Agriculture Total,Argentina,Emissions (N2O),Manure Management,2010,gigagrams,1.4159,
Agriculture Total,Argentina,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,16.0584,
Agriculture Total,Argentina,Emissions (N2O),Manure applied to Soils,2010,gigagrams,3.7333,
Agriculture Total,Argentina,Emissions (N2O),Manure left on Pasture,2010,gigagrams,82.3406,
Agriculture Total,Armenia,Emissions (N2O),Manure Management,2010,gigagrams,0.0632,
Agriculture Total,Armenia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.6161,
Agriculture Total,Armenia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0794,
Agriculture Total,Armenia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.3559,
Agriculture Total,Australia,Emissions (N2O),Manure Management,2010,gigagrams,5.6073,
Agriculture Total,Australia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,20.4425,
Agriculture Total,Australia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,3.2093,
Agriculture Total,Australia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,88.5407,
Agriculture Total,Austria,Emissions (N2O),Manure Management,2010,gigagrams,1.5094,
Agriculture Total,Austria,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.7938,
Agriculture Total,Austria,Emissions (N2O),Manure applied to Soils,2010,gigagrams,2.286,
Agriculture Total,Austria,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.5461,
Agriculture Total,Azerbaijan,Emissions (N2O),Manure Management,2010,gigagrams,0.1105,
