Domain,Area,Element,Item,Year,Unit,Value
Fertilizers by Nutrient,Afghanistan,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,12929.01
Fertilizers by Nutrient,Albania,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,31292.44
Fertilizers by Nutrient,Algeria,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,60100
Fertilizers by Nutrient,American Samoa,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Andorra,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Angola,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,17369
Fertilizers by Nutrient,Anguilla,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Antigua and Barbuda,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,4
Fertilizers by Nutrient,Argentina,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,771245
Fertilizers by Nutrient,Armenia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,29587.4
Fertilizers by Nutrient,Aruba,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Australia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,981800
Fertilizers by Nutrient,Austria,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,86153
Fertilizers by Nutrient,Azerbaijan,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,12812
Fertilizers by Nutrient,Bahamas,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Bahrain,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,2580.97
Fertilizers by Nutrient,Bangladesh,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,1166810
Fertilizers by Nutrient,Barbados,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,435
Fertilizers by Nutrient,Belarus,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,529900
Fertilizers by Nutrient,Belgium,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,171234
Fertilizers by Nutrient,Belgium-Luxembourg,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Belize,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,2280
Fertilizers by Nutrient,Benin,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,12079
Fertilizers by Nutrient,Bermuda,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Bhutan,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,686
Fertilizers by Nutrient,Bolivia (Plurinational State of),Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,17962
Fertilizers by Nutrient,Bosnia and Herzegovina,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,61304
Fertilizers by Nutrient,Botswana,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,19939
Fertilizers by Nutrient,Brazil,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,3091463.31
Fertilizers by Nutrient,British Virgin Islands,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Brunei Darussalam,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,604
Fertilizers by Nutrient,Bulgaria,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,270129
Fertilizers by Nutrient,Burkina Faso,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,41122
Fertilizers by Nutrient,Burundi,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,1942
Fertilizers by Nutrient,Cabo Verde,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Cambodia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,21022
Fertilizers by Nutrient,Cameroon,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,25457
Fertilizers by Nutrient,Canada,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,2051264
Fertilizers by Nutrient,Cayman Islands,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Central African Republic,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,221.67
Fertilizers by Nutrient,Chad,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Channel Islands,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Chile,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,348444
Fertilizers by Nutrient,China,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,29704416.95
Fertilizers by Nutrient,Colombia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,538735
Fertilizers by Nutrient,Comoros,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,0
Fertilizers by Nutrient,Congo,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,110
Fertilizers by Nutrient,Cook Islands,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,7
Fertilizers by Nutrient,Costa Rica,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,61204.54
Fertilizers by Nutrient,Côte d'Ivoire,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,26724
Fertilizers by Nutrient,Croatia,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,117400
Fertilizers by Nutrient,Cuba,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,46159
Fertilizers by Nutrient,Cyprus,Agricultural Use,Nutrient nitrogen N (total),2010,tonnes,8437
