Domain,Area,Element,Item,Year,Unit,Value
Fertilizers indicators,Afghanistan,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,1.63
Fertilizers indicators,Albania,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,44.96
Fertilizers indicators,Algeria,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,7.15
Fertilizers indicators,American Samoa,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Andorra,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Angola,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,3.96
Fertilizers indicators,Anguilla,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Antigua and Barbuda,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,0.8
Fertilizers indicators,Argentina,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,19.79
Fertilizers indicators,Armenia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,58.75
Fertilizers indicators,Aruba,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Australia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,37.81
Fertilizers indicators,Austria,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,60.28
Fertilizers indicators,Azerbaijan,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,6.07
Fertilizers indicators,Bahamas,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Bahrain,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Bangladesh,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,135.03
Fertilizers indicators,Barbados,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,33.46
Fertilizers indicators,Belarus,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,93.67
Fertilizers indicators,Belgium,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,200.11
Fertilizers indicators,Belgium-Luxembourg,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Belize,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,21.31
Fertilizers indicators,Benin,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,3.9
Fertilizers indicators,Bermuda,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Bhutan,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,6.07
Fertilizers indicators,Bolivia (Plurinational State of),Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,3.98
Fertilizers indicators,Bosnia and Herzegovina,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,55.28
Fertilizers indicators,Botswana,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,76.39
Fertilizers indicators,Brazil,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,50.2
Fertilizers indicators,British Virgin Islands,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Brunei Darussalam,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,60.4
Fertilizers indicators,Bulgaria,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,80.64
Fertilizers indicators,Burkina Faso,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,6.76
Fertilizers indicators,Burundi,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,1.44
Fertilizers indicators,Cabo Verde,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Cambodia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,5.32
Fertilizers indicators,Cameroon,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,3.31
Fertilizers indicators,Canada,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,54.17
Fertilizers indicators,Cayman Islands,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Central African Republic,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,0.12
Fertilizers indicators,Chad,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Channel Islands,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Chile,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,201.65
Fertilizers indicators,China,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,242.62
Fertilizers indicators,"China, Hong Kong SAR",Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,"China, Macao SAR",Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,"China, mainland",Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,242.62
Fertilizers indicators,"China, Taiwan Province of",Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Colombia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,160.67
Fertilizers indicators,Comoros,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Congo,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,0.19
Fertilizers indicators,Cook Islands,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,5.22
Fertilizers indicators,Costa Rica,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,113.34
Fertilizers indicators,Côte d'Ivoire,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,3.61
Fertilizers indicators,Croatia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,118.78
Fertilizers indicators,Cuba,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,12.13
Fertilizers indicators,Cyprus,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,75
