Aggregate|AggregateCode|FBS_ItemCode|FBS_ItemName|Type|SUA_ItemCode|SUA_ItemName,,
All|7000|2511|Wheat|Vegetal|15|Wheat,,
All|7000|2513|Barley|Vegetal|44|Barley,,
All|7000|2514|Maize|Vegetal|56|Maize,,
All|7000|2515|Rye|Vegetal|71|Rye,,
All|7000|2516|Oats|Vegetal|75|Oats,,
All|7000|2517|Millet|Vegetal|79|Millet,,
All|7000|2518|Sorghum|Vegetal|83|Sorghum,,
All|7000|2520|Cereals, Other|Vegetal|101|Canary Seed,
All|7000|2520|Cereals, Other|Vegetal|103|Mixed Grain,
All|7000|2520|Cereals, Other|Vegetal|108|Cereals Nes,
All|7000|2520|Cereals, Other|Vegetal|89|Buckwheat,
All|7000|2520|Cereals, Other|Vegetal|92|Quinoa,
All|7000|2520|Cereals, Other|Vegetal|94|Fonio,
All|7000|2520|Cereals, Other|Vegetal|97|Triticale,
All|7000|2531|Potatoes|Vegetal|116|Potatoes,,
All|7000|2532|Cassava|Vegetal|125|Cassava,,
All|7000|2533|Sweet Potatoes|Vegetal|122|Sweet Potato,,
All|7000|2534|Roots, Other|Vegetal|135|Yautia(Coc.),
All|7000|2534|Roots, Other|Vegetal|136|Taro,
All|7000|2534|Roots, Other|Vegetal|149|Roots Tub Ns,
All|7000|2535|Yams|Vegetal|137|Yams,,
All|7000|2536|Sugar Cane|Vegetal|156|Sugar Cane,,
All|7000|2537|Sugar Beet|Vegetal|157|Sugar Beets,,
All|7000|2546|Beans|Vegetal|176|Beans, Dry,
All|7000|2547|Peas|Vegetal|187|Peas, Dry,
All|7000|2549|Pulses, Other|Vegetal|181|Brd Beans,Dr
All|7000|2549|Pulses, Other|Vegetal|191|Chick-Peas,
All|7000|2549|Pulses, Other|Vegetal|195|Cow Peas,Dry
All|7000|2549|Pulses, Other|Vegetal|197|Pigeon Peas,
All|7000|2549|Pulses, Other|Vegetal|201|Lentils,
All|7000|2549|Pulses, Other|Vegetal|203|Bambara Bean,
All|7000|2549|Pulses, Other|Vegetal|205|Vetches,
All|7000|2549|Pulses, Other|Vegetal|210|Lupins,
All|7000|2549|Pulses, Other|Vegetal|211|Pulses Nes,
All|7000|2551|Nuts|Vegetal|216|Brazil Nuts,,
All|7000|2551|Nuts|Vegetal|217|Cashew Nuts,,
All|7000|2551|Nuts|Vegetal|220|Chestnuts,,
All|7000|2551|Nuts|Vegetal|221|Almonds,,
All|7000|2551|Nuts|Vegetal|222|Walnuts,,
All|7000|2551|Nuts|Vegetal|223|Pistachios,,
All|7000|2551|Nuts|Vegetal|224|Kolanuts,,
All|7000|2551|Nuts|Vegetal|225|Hazelnuts,,
All|7000|2551|Nuts|Vegetal|226|Arecanuts,,
All|7000|2551|Nuts|Vegetal|234|Nuts Nes,,
All|7000|2555|Soyabeans|Vegetal|236|Soybeans,,
All|7000|2557|Sunflowerseed|Vegetal|267|Sunflwr Seed,,
All|7000|2558|Rape and Mustardseed|Vegetal|270|Rapeseed,,
All|7000|2558|Rape and Mustardseed|Vegetal|292|Mustard Seed,,
All|7000|2560|Coconuts - Incl Copra|Vegetal|249|Coconuts,,
All|7000|2561|Sesameseed|Vegetal|289|Sesame Seed,,
All|7000|2563|Olives|Vegetal|260|Olives,,
All|7000|2570|Oilcrops, Other|Vegetal|263|Karite Nuts,
All|7000|2570|Oilcrops, Other|Vegetal|265|Castor Beans,
All|7000|2570|Oilcrops, Other|Vegetal|275|Tung Nuts,
All|7000|2570|Oilcrops, Other|Vegetal|277|Jojoba Seeds,
All|7000|2570|Oilcrops, Other|Vegetal|280|Safflower,
All|7000|2570|Oilcrops, Other|Vegetal|296|Poppy Seed,
All|7000|2570|Oilcrops, Other|Vegetal|299|Melonseed,
All|7000|2570|Oilcrops, Other|Vegetal|305|Tallow Seeds,
All|7000|2570|Oilcrops, Other|Vegetal|310|Kapok Fruit,
All|7000|2570|Oilcrops, Other|Vegetal|333|Linseed,
All|7000|2570|Oilcrops, Other|Vegetal|336|Hempseed,
