Domain|Area|Element|Item|Year|Unit|Value
Livestock Primary|Afghanistan|Production|Meat indigenous, pig|2010||0
Livestock Primary|Afghanistan|Yield/Carcass Weight|Meat indigenous, pig|2010||0
Livestock Primary|Afghanistan|Production|Meat indigenous, pig|2010||0
Livestock Primary|Afghanistan|Producing Animals/Slaughtered|Meat, pig|2010||0
Livestock Primary|Afghanistan|Yield/Carcass Weight|Meat, pig|2010||0
Livestock Primary|Afghanistan|Production|Meat, pig|2010||0
Livestock Primary|Afghanistan|Producing Animals/Slaughtered|Beef and Buffalo Meat|2010|Head|727800
Livestock Primary|Afghanistan|Yield/Carcass Weight|Beef and Buffalo Meat|2010|hg/An|1800
Livestock Primary|Afghanistan|Production|Beef and Buffalo Meat|2010|tonnes|131000
Livestock Primary|Afghanistan|Laying|Eggs Primary|2010|1000 Head|8200
Livestock Primary|Afghanistan|Yield|Eggs Primary|2010|100mg/An|19932
Livestock Primary|Afghanistan|Production|Eggs Primary|2010|tonnes|16344
Livestock Primary|Afghanistan|Production|Meat indigenous, poultry|2010|1000 Head|31108
Livestock Primary|Afghanistan|Yield/Carcass Weight|Meat indigenous, poultry|2010||0
Livestock Primary|Afghanistan|Production|Meat indigenous, poultry|2010|tonnes|24886
Livestock Primary|Afghanistan|Production|Meat indigenous, total|2010|tonnes|325569
Livestock Primary|Afghanistan|Producing Animals/Slaughtered|Meat, Poultry|2010|1000 Head|35000
Livestock Primary|Afghanistan|Yield/Carcass Weight|Meat, Poultry|2010|0.1g/An|8000
Livestock Primary|Afghanistan|Production|Meat, Poultry|2010|tonnes|28000
Livestock Primary|Afghanistan|Production|Meat, Total|2010|tonnes|328160
Livestock Primary|Afghanistan|Milk Animals|Milk, Total|2010|Head|12866000
Livestock Primary|Afghanistan|Yield|Milk, Total|2010|hg/An|1338
Livestock Primary|Afghanistan|Production|Milk, Total|2010|tonnes|1721000
Livestock Primary|Afghanistan|Producing Animals/Slaughtered|Sheep and Goat Meat|2010|Head|10500000
Livestock Primary|Afghanistan|Yield/Carcass Weight|Sheep and Goat Meat|2010|hg/An|150
Livestock Primary|Afghanistan|Production|Sheep and Goat Meat|2010|tonnes|157200
Livestock Primary|Albania|Production|Meat indigenous, pig|2010|Head|114619
Livestock Primary|Albania|Yield/Carcass Weight|Meat indigenous, pig|2010|hg/An|668
Livestock Primary|Albania|Production|Meat indigenous, pig|2010|tonnes|7657
Livestock Primary|Albania|Producing Animals/Slaughtered|Meat, pig|2010|Head|187000
Livestock Primary|Albania|Yield/Carcass Weight|Meat, pig|2010|hg/An|668
Livestock Primary|Albania|Production|Meat, pig|2010|tonnes|12500
Livestock Primary|Albania|Producing Animals/Slaughtered|Beef and Buffalo Meat|2010|Head|370000
Livestock Primary|Albania|Yield/Carcass Weight|Beef and Buffalo Meat|2010|hg/An|1103
Livestock Primary|Albania|Production|Beef and Buffalo Meat|2010|tonnes|40800
Livestock Primary|Albania|Laying|Eggs Primary|2010|1000 Head|4500
Livestock Primary|Albania|Yield|Eggs Primary|2010|100mg/An|70000
Livestock Primary|Albania|Production|Eggs Primary|2010|tonnes|31500
Livestock Primary|Albania|Production|Meat indigenous, poultry|2010|1000 Head|14862
Livestock Primary|Albania|Yield/Carcass Weight|Meat indigenous, poultry|2010||0
Livestock Primary|Albania|Production|Meat indigenous, poultry|2010|tonnes|11179
Livestock Primary|Albania|Production|Meat indigenous, total|2010|tonnes|75271
Livestock Primary|Albania|Producing Animals/Slaughtered|Meat, Poultry|2010|1000 Head|7241
Livestock Primary|Albania|Yield/Carcass Weight|Meat, Poultry|2010|0.1g/An|23478
Livestock Primary|Albania|Production|Meat, Poultry|2010|tonnes|17000
