Domain,Area,Element,Item,Year,Unit,Value
Land Use,Afghanistan,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Afghanistan,Area,Land with temporary fallow,2010,1000 ha,4312
Land Use,Afghanistan,Area,Land under perm. meadows and pastures,2010,1000 ha,30000
Land Use,Albania,Area,Land under temp. meadows and pastures,2010,1000 ha,202
Land Use,Albania,Area,Land with temporary fallow,2010,1000 ha,222
Land Use,Albania,Area,Land under perm. meadows and pastures,2010,1000 ha,505.3
Land Use,Algeria,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Algeria,Area,Land with temporary fallow,2010,1000 ha,3276
Land Use,Algeria,Area,Land under perm. meadows and pastures,2010,1000 ha,32963
Land Use,American Samoa,Area,Land under temp. meadows and pastures,2010,,0
Land Use,American Samoa,Area,Land with temporary fallow,2010,,0
Land Use,American Samoa,Area,Land under perm. meadows and pastures,2010,,0
Land Use,Andorra,Area,Land under temp. meadows and pastures,2010,1000 ha,0.52
Land Use,Andorra,Area,Land with temporary fallow,2010,1000 ha,0.05
Land Use,Andorra,Area,Land under perm. meadows and pastures,2010,1000 ha,19
Land Use,Angola,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Angola,Area,Land with temporary fallow,2010,,0
Land Use,Angola,Area,Land under perm. meadows and pastures,2010,1000 ha,54000
Land Use,Anguilla,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Anguilla,Area,Land with temporary fallow,2010,,0
Land Use,Anguilla,Area,Land under perm. meadows and pastures,2010,,0
Land Use,Antigua and Barbuda,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Antigua and Barbuda,Area,Land with temporary fallow,2010,,0
Land Use,Antigua and Barbuda,Area,Land under perm. meadows and pastures,2010,1000 ha,4
Land Use,Argentina,Area,Land under temp. meadows and pastures,2010,1000 ha,4400
Land Use,Argentina,Area,Land with temporary fallow,2010,1000 ha,3000
Land Use,Argentina,Area,Land under perm. meadows and pastures,2010,1000 ha,108500
Land Use,Armenia,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Armenia,Area,Land with temporary fallow,2010,1000 ha,155.9
Land Use,Armenia,Area,Land under perm. meadows and pastures,2010,1000 ha,1231.4
Land Use,Aruba,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Aruba,Area,Land with temporary fallow,2010,,0
Land Use,Aruba,Area,Land under perm. meadows and pastures,2010,,0
Land Use,Australia,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Australia,Area,Land with temporary fallow,2010,,0
Land Use,Australia,Area,Land under perm. meadows and pastures,2010,1000 ha,350404
Land Use,Austria,Area,Land under temp. meadows and pastures,2010,1000 ha,165.2
Land Use,Austria,Area,Land with temporary fallow,2010,1000 ha,41.8
Land Use,Austria,Area,Land under perm. meadows and pastures,2010,1000 ha,1350.1
Land Use,Azerbaijan,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Azerbaijan,Area,Land with temporary fallow,2010,1000 ha,41.4
Land Use,Azerbaijan,Area,Land under perm. meadows and pastures,2010,1000 ha,2655.3
Land Use,Bahamas,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Bahamas,Area,Land with temporary fallow,2010,,0
Land Use,Bahamas,Area,Land under perm. meadows and pastures,2010,1000 ha,2
Land Use,Bahrain,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Bahrain,Area,Land with temporary fallow,2010,,0
Land Use,Bahrain,Area,Land under perm. meadows and pastures,2010,1000 ha,4
Land Use,Bangladesh,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Bangladesh,Area,Land with temporary fallow,2010,1000 ha,531
Land Use,Bangladesh,Area,Land under perm. meadows and pastures,2010,1000 ha,600
Land Use,Barbados,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Barbados,Area,Land with temporary fallow,2010,,0
Land Use,Barbados,Area,Land under perm. meadows and pastures,2010,1000 ha,2
Land Use,Belarus,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Belarus,Area,Land with temporary fallow,2010,1000 ha,24
Land Use,Belarus,Area,Land under perm. meadows and pastures,2010,1000 ha,3241
Land Use,Belgium,Area,Land under temp. meadows and pastures,2010,1000 ha,79
Land Use,Belgium,Area,Land with temporary fallow,2010,1000 ha,10
Land Use,Belgium,Area,Land under perm. meadows and pastures,2010,1000 ha,500
Land Use,Belgium-Luxembourg,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Belgium-Luxembourg,Area,Land with temporary fallow,2010,,0
Land Use,Belgium-Luxembourg,Area,Land under perm. meadows and pastures,2010,,0
Land Use,Belize,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Belize,Area,Land with temporary fallow,2010,,0
Land Use,Belize,Area,Land under perm. meadows and pastures,2010,1000 ha,50
Land Use,Benin,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Benin,Area,Land with temporary fallow,2010,,0
Land Use,Benin,Area,Land under perm. meadows and pastures,2010,1000 ha,550
Land Use,Bermuda,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Bermuda,Area,Land with temporary fallow,2010,,0
Land Use,Bermuda,Area,Land under perm. meadows and pastures,2010,,0
Land Use,Bhutan,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Bhutan,Area,Land with temporary fallow,2010,,0
Land Use,Bhutan,Area,Land under perm. meadows and pastures,2010,1000 ha,407
Land Use,Bolivia (Plurinational State of),Area,Land under temp. meadows and pastures,2010,,0
Land Use,Bolivia (Plurinational State of),Area,Land with temporary fallow,2010,1000 ha,1628
Land Use,Bolivia (Plurinational State of),Area,Land under perm. meadows and pastures,2010,1000 ha,33000
Land Use,Bosnia and Herzegovina,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Bosnia and Herzegovina,Area,Land with temporary fallow,2010,1000 ha,492
Land Use,Bosnia and Herzegovina,Area,Land under perm. meadows and pastures,2010,1000 ha,1035
Land Use,Botswana,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Botswana,Area,Land with temporary fallow,2010,1000 ha,16
Land Use,Botswana,Area,Land under perm. meadows and pastures,2010,1000 ha,25600
Land Use,Brazil,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Brazil,Area,Land with temporary fallow,2010,,0
