Domain,Area,Element,Item,Year,Unit,Value
Enteric Fermentation,Brazil,Stocks,Camels and Llamas,2010,,0
Enteric Fermentation,Brazil,Implied emission factor for CH4 (Enteric),Camels and Llamas,2010,,0
Enteric Fermentation,Brazil,Emissions (CH4) (Enteric),Camels and Llamas,2010,,0
Enteric Fermentation,Brazil,Stocks,Cattle,2010,Head,209541109
Enteric Fermentation,Brazil,Emissions (CH4) (Enteric),Cattle,2010,gigagrams,12101.1007
Enteric Fermentation,Brazil,Stocks,Mules and Asses,2010,Head,2279006
Enteric Fermentation,Brazil,Implied emission factor for CH4 (Enteric),Mules and Asses,2010,,0
Enteric Fermentation,Brazil,Emissions (CH4) (Enteric),Mules and Asses,2010,gigagrams,22.7901
Enteric Fermentation,Brazil,Stocks,Sheep and Goats,2010,Head,26693365
Enteric Fermentation,Brazil,Emissions (CH4) (Enteric),Sheep and Goats,2010,gigagrams,133.4668
Enteric Fermentation,Brazil,Stocks,Swine,2010,Head,38956760
Enteric Fermentation,Brazil,Implied emission factor for CH4 (Enteric),Swine,2010,,0
Enteric Fermentation,Brazil,Emissions (CH4) (Enteric),Swine,2010,gigagrams,38.9568
Enteric Fermentation,Costa Rica,Stocks,Camels and Llamas,2010,,0
Enteric Fermentation,Costa Rica,Implied emission factor for CH4 (Enteric),Camels and Llamas,2010,,0
Enteric Fermentation,Costa Rica,Emissions (CH4) (Enteric),Camels and Llamas,2010,,0
Enteric Fermentation,Costa Rica,Stocks,Cattle,2010,Head,1350000
Enteric Fermentation,Costa Rica,Emissions (CH4) (Enteric),Cattle,2010,gigagrams,83.4067
Enteric Fermentation,Costa Rica,Stocks,Mules and Asses,2010,Head,13200
Enteric Fermentation,Costa Rica,Implied emission factor for CH4 (Enteric),Mules and Asses,2010,,0
Enteric Fermentation,Costa Rica,Emissions (CH4) (Enteric),Mules and Asses,2010,gigagrams,0.132
Enteric Fermentation,Costa Rica,Stocks,Sheep and Goats,2010,Head,7800
Enteric Fermentation,Costa Rica,Emissions (CH4) (Enteric),Sheep and Goats,2010,gigagrams,0.039
Enteric Fermentation,Costa Rica,Stocks,Swine,2010,Head,438000
Enteric Fermentation,Costa Rica,Implied emission factor for CH4 (Enteric),Swine,2010,,0
Enteric Fermentation,Costa Rica,Emissions (CH4) (Enteric),Swine,2010,gigagrams,0.438
Enteric Fermentation,France,Stocks,Camels and Llamas,2010,,0
Enteric Fermentation,France,Implied emission factor for CH4 (Enteric),Camels and Llamas,2010,,0
Enteric Fermentation,France,Emissions (CH4) (Enteric),Camels and Llamas,2010,,0
Enteric Fermentation,France,Stocks,Cattle,2010,Head,19555173
