Domain,Area,Element,Item,Year,Unit,Value
Food Balances (old methodology and population),Brazil,Feed,Vegetal Products,2010,,0
Food Balances (old methodology and population),Brazil,Feed,Cereals - Excluding Beer,2010,1000 tonnes,35988
Food Balances (old methodology and population),Brazil,Feed,Starchy Roots,2010,1000 tonnes,12884
Food Balances (old methodology and population),Brazil,Feed,Sugar Crops,2010,1000 tonnes,6600
Food Balances (old methodology and population),Brazil,Feed,Sugar & Sweeteners,2010,,0
Food Balances (old methodology and population),Brazil,Feed,Pulses,2010,1000 tonnes,0
Food Balances (old methodology and population),Brazil,Feed,Treenuts,2010,,0
Food Balances (old methodology and population),Brazil,Feed,Oilcrops,2010,1000 tonnes,335
Food Balances (old methodology and population),Brazil,Feed,Vegetable Oils,2010,,0
Food Balances (old methodology and population),Brazil,Feed,Vegetables,2010,1000 tonnes,0
Food Balances (old methodology and population),Brazil,Feed,Fruits - Excluding Wine,2010,,0
Food Balances (old methodology and population),Costa Rica,Feed,Vegetal Products,2010,,0
Food Balances (old methodology and population),Costa Rica,Feed,Cereals - Excluding Beer,2010,1000 tonnes,572
Food Balances (old methodology and population),Costa Rica,Feed,Starchy Roots,2010,1000 tonnes,2
Food Balances (old methodology and population),Costa Rica,Feed,Sugar Crops,2010,1000 tonnes,6
Food Balances (old methodology and population),Costa Rica,Feed,Sugar & Sweeteners,2010,,0
Food Balances (old methodology and population),Costa Rica,Feed,Pulses,2010,1000 tonnes,0
Food Balances (old methodology and population),Costa Rica,Feed,Treenuts,2010,,0
Food Balances (old methodology and population),Costa Rica,Feed,Oilcrops,2010,1000 tonnes,1
Food Balances (old methodology and population),Costa Rica,Feed,Vegetable Oils,2010,,0
Food Balances (old methodology and population),Costa Rica,Feed,Vegetables,2010,1000 tonnes,0
Food Balances (old methodology and population),Costa Rica,Feed,Fruits - Excluding Wine,2010,1000 tonnes,82
Food Balances (old methodology and population),France,Feed,Vegetal Products,2010,,0
Food Balances (old methodology and population),France,Feed,Cereals - Excluding Beer,2010,1000 tonnes,19288
Food Balances (old methodology and population),France,Feed,Starchy Roots,2010,1000 tonnes,401
Food Balances (old methodology and population),France,Feed,Sugar Crops,2010,,0
Food Balances (old methodology and population),France,Feed,Sugar & Sweeteners,2010,1000 tonnes,55
Food Balances (old methodology and population),France,Feed,Pulses,2010,1000 tonnes,925
Food Balances (old methodology and population),France,Feed,Treenuts,2010,,0
Food Balances (old methodology and population),France,Feed,Oilcrops,2010,1000 tonnes,308
Food Balances (old methodology and population),France,Feed,Vegetable Oils,2010,,0
Food Balances (old methodology and population),France,Feed,Vegetables,2010,1000 tonnes,98
Food Balances (old methodology and population),France,Feed,Fruits - Excluding Wine,2010,,0
Food Balances (old methodology and population),India,Feed,Vegetal Products,2010,,0
Food Balances (old methodology and population),India,Feed,Cereals - Excluding Beer,2010,1000 tonnes,10731
Food Balances (old methodology and population),India,Feed,Starchy Roots,2010,,0
Food Balances (old methodology and population),India,Feed,Sugar Crops,2010,1000 tonnes,5846
Food Balances (old methodology and population),India,Feed,Sugar & Sweeteners,2010,1000 tonnes,350
Food Balances (old methodology and population),India,Feed,Pulses,2010,1000 tonnes,1580
Food Balances (old methodology and population),India,Feed,Treenuts,2010,,0
Food Balances (old methodology and population),India,Feed,Oilcrops,2010,1000 tonnes,4732
Food Balances (old methodology and population),India,Feed,Vegetable Oils,2010,,0
Food Balances (old methodology and population),India,Feed,Vegetables,2010,,0
Food Balances (old methodology and population),India,Feed,Fruits - Excluding Wine,2010,,0
Food Balances (old methodology and population),Ireland,Feed,Vegetal Products,2010,,0
Food Balances (old methodology and population),Ireland,Feed,Cereals - Excluding Beer,2010,1000 tonnes,2465
Food Balances (old methodology and population),Ireland,Feed,Starchy Roots,2010,1000 tonnes,6
Food Balances (old methodology and population),Ireland,Feed,Sugar Crops,2010,1000 tonnes,3
Food Balances (old methodology and population),Ireland,Feed,Sugar & Sweeteners,2010,1000 tonnes,0
Food Balances (old methodology and population),Ireland,Feed,Pulses,2010,1000 tonnes,8
Food Balances (old methodology and population),Ireland,Feed,Treenuts,2010,,0
Food Balances (old methodology and population),Ireland,Feed,Oilcrops,2010,1000 tonnes,87
Food Balances (old methodology and population),Ireland,Feed,Vegetable Oils,2010,,0
Food Balances (old methodology and population),Ireland,Feed,Vegetables,2010,1000 tonnes,33
Food Balances (old methodology and population),Ireland,Feed,Fruits - Excluding Wine,2010,,0
Food Balances (old methodology and population),Netherlands,Feed,Vegetal Products,2010,,0
Food Balances (old methodology and population),Netherlands,Feed,Cereals - Excluding Beer,2010,1000 tonnes,8179
Food Balances (old methodology and population),Netherlands,Feed,Starchy Roots,2010,1000 tonnes,351
Food Balances (old methodology and population),Netherlands,Feed,Sugar Crops,2010,1000 tonnes,0
Food Balances (old methodology and population),Netherlands,Feed,Sugar & Sweeteners,2010,1000 tonnes,0
Food Balances (old methodology and population),Netherlands,Feed,Pulses,2010,1000 tonnes,58
Food Balances (old methodology and population),Netherlands,Feed,Treenuts,2010,,0
Food Balances (old methodology and population),Netherlands,Feed,Oilcrops,2010,1000 tonnes,12
Food Balances (old methodology and population),Netherlands,Feed,Vegetable Oils,2010,,0
Food Balances (old methodology and population),Netherlands,Feed,Vegetables,2010,1000 tonnes,54
Food Balances (old methodology and population),Netherlands,Feed,Fruits - Excluding Wine,2010,,0
