Domain,Area,Element,Item,Year,Unit,Value
Food Balances (old methodology and population),Afghanistan,Feed,Wheat and products,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Rice (Milled Equivalent),2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Barley and products,2010,1000 tonnes,315
Food Balances (old methodology and population),Afghanistan,Feed,Maize and products,2010,1000 tonnes,178
Food Balances (old methodology and population),Afghanistan,Feed,Rye and products,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Oats,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Millet and products,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Sorghum and products,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Cereals, Other,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Cassava and products,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Potatoes and products,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Sweet potatoes,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Yams,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Roots, Other,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Sugar cane,2010,1000 tonnes,83
Food Balances (old methodology and population),Afghanistan,Feed,Sugar beet,2010,1000 tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Sugar non-centrifugal,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Sugar (Raw Equivalent),2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Sweeteners, Other,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Honey,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Beans,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Peas,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Pulses, Other and products,2010,1000 tonnes,4
Food Balances (old methodology and population),Afghanistan,Feed,Nuts and products,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Soyabeans,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Groundnuts (Shelled Eq),2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Sunflower seed,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Rape and Mustardseed,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Cottonseed,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Coconuts - Incl Copra,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Sesame seed,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Palm kernels,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Olives (including preserved),2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Oilcrops, Other,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Soyabean Oil,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Groundnut Oil,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Sunflowerseed Oil,2010,tonnes,0
Food Balances (old methodology and population),Afghanistan,Feed,Rape and Mustard Oil,2010,tonnes,0
