Domain|Area|Element|Item|Year|Unit|Value
Livestock Manure|Afghanistan|Amount excreted in manure (N content)|Cattle, dairy|2010|kg|183987375
Livestock Manure|Afghanistan|Amount excreted in manure (N content)|Cattle, non-dairy|2010|kg|24203223.000000004
Livestock Manure|Afghanistan|Amount excreted in manure (N content)|Chickens, broilers|2010|kg|1694008.8
Livestock Manure|Afghanistan|Amount excreted in manure (N content)|Chickens, layers|2010|kg|4417668
Livestock Manure|Afghanistan|Amount excreted in manure (N content)|Cattle|2010|kg|208190598
Livestock Manure|Afghanistan|Amount excreted in manure (N content)|Poultry Birds|2010|kg|6111676.8
Livestock Manure|Afghanistan|Amount excreted in manure (N content)|Sheep and Goats|2010|kg|260711199.90000004
Livestock Manure|Afghanistan|Amount excreted in manure (N content)|Swine|2010||
Livestock Manure|Albania|Amount excreted in manure (N content)|Cattle, dairy|2010|kg|37317600
Livestock Manure|Albania|Amount excreted in manure (N content)|Cattle, non-dairy|2010|kg|6981282
Livestock Manure|Albania|Amount excreted in manure (N content)|Chickens, broilers|2010|kg|269205.75
Livestock Manure|Albania|Amount excreted in manure (N content)|Chickens, layers|2010|kg|2838239.9999999995
Livestock Manure|Albania|Amount excreted in manure (N content)|Cattle|2010|kg|44298882
Livestock Manure|Albania|Amount excreted in manure (N content)|Poultry Birds|2010|kg|6394891.25
Livestock Manure|Albania|Amount excreted in manure (N content)|Sheep and Goats|2010|kg|41115187.75
Livestock Manure|Albania|Amount excreted in manure (N content)|Swine|2010|kg|1871582.7600000002
Livestock Manure|Algeria|Amount excreted in manure (N content)|Cattle, dairy|2010|kg|55129965
Livestock Manure|Algeria|Amount excreted in manure (N content)|Cattle, non-dairy|2010|kg|33110017.604999997
Livestock Manure|Algeria|Amount excreted in manure (N content)|Chickens, broilers|2010|kg|38422706.85
Livestock Manure|Algeria|Amount excreted in manure (N content)|Chickens, layers|2010|kg|10596477.06
Livestock Manure|Algeria|Amount excreted in manure (N content)|Cattle|2010|kg|88239982.60499999
Livestock Manure|Algeria|Amount excreted in manure (N content)|Poultry Birds|2010|kg|49205380.63
Livestock Manure|Algeria|Amount excreted in manure (N content)|Sheep and Goats|2010|kg|337766961.348
Livestock Manure|Algeria|Amount excreted in manure (N content)|Swine|2010|kg|82516.28
Livestock Manure|American Samoa|Amount excreted in manure (N content)|Cattle, dairy|2010|kg|1927.2
Livestock Manure|American Samoa|Amount excreted in manure (N content)|Cattle, non-dairy|2010|kg|5179.35
Livestock Manure|American Samoa|Amount excreted in manure (N content)|Chickens, broilers|2010|kg|11305.55745
Livestock Manure|American Samoa|Amount excreted in manure (N content)|Chickens, layers|2010|kg|4694.04162
Livestock Manure|American Samoa|Amount excreted in manure (N content)|Cattle|2010|kg|7106.55
Livestock Manure|American Samoa|Amount excreted in manure (N content)|Poultry Birds|2010|kg|15999.59907
Livestock Manure|American Samoa|Amount excreted in manure (N content)|Sheep and Goats|2010||
Livestock Manure|American Samoa|Amount excreted in manure (N content)|Swine|2010|kg|113997.7125
Livestock Manure|Andorra|Amount excreted in manure (N content)|Cattle, dairy|2010||
