Domain|Area|Element|Item|Year|Unit|Value
Manure Management|Afghanistan|Stocks|Cattle, dairy|2010|Head|3900000
Manure Management|Afghanistan|Manure treated (N content)|Cattle, dairy|2010|kg|38637348.75
Manure Management|Afghanistan|Implied emission factor for CH4 (Manure management)|Cattle, dairy|2010|kg CH4/head|5
Manure Management|Afghanistan|Implied emission factor for N2O (Manure management)|Cattle, dairy|2010|kg N2O-N/kg N|0.0011
Manure Management|Afghanistan|Emissions (CH4) (Manure management)|Cattle, dairy|2010|gigagrams|19.5
Manure Management|Afghanistan|Emissions (N2O) (Manure management)|Cattle, dairy|2010|gigagrams|0.0645
Manure Management|Afghanistan|Stocks|Cattle, non-dairy|2010|Head|1773000
Manure Management|Afghanistan|Manure treated (N content)|Cattle, non-dairy|2010|kg|6292837.98
Manure Management|Afghanistan|Implied emission factor for CH4 (Manure management)|Cattle, non-dairy|2010|kg CH4/head|2
Manure Management|Afghanistan|Implied emission factor for N2O (Manure management)|Cattle, non-dairy|2010|kg N2O-N/kg N|0.0037
Manure Management|Afghanistan|Emissions (CH4) (Manure management)|Cattle, non-dairy|2010|gigagrams|3.546
Manure Management|Afghanistan|Emissions (N2O) (Manure management)|Cattle, non-dairy|2010|gigagrams|0.0369
Manure Management|Afghanistan|Stocks|Chickens, broilers|2010|Head|4688000
Manure Management|Afghanistan|Manure treated (N content)|Chickens, broilers|2010|kg|931704.84
Manure Management|Afghanistan|Implied emission factor for CH4 (Manure management)|Chickens, broilers|2010|kg CH4/head|0.01
Manure Management|Afghanistan|Implied emission factor for N2O (Manure management)|Chickens, broilers|2010|kg N2O-N/kg N|0.005
Manure Management|Afghanistan|Emissions (CH4) (Manure management)|Chickens, broilers|2010|gigagrams|0.0469
Manure Management|Afghanistan|Emissions (N2O) (Manure management)|Chickens, broilers|2010|gigagrams|0.0073
Manure Management|Afghanistan|Stocks|Chickens, layers|2010|Head|8200000
Manure Management|Afghanistan|Manure treated (N content)|Chickens, layers|2010|kg|2429717.4
Manure Management|Afghanistan|Implied emission factor for CH4 (Manure management)|Chickens, layers|2010|kg CH4/head|0.01
Manure Management|Afghanistan|Implied emission factor for N2O (Manure management)|Chickens, layers|2010|kg N2O-N/kg N|0.005
Manure Management|Afghanistan|Emissions (CH4) (Manure management)|Chickens, layers|2010|gigagrams|0.082
