Domain,Area,Element,Item,Year,Unit,Value
Livestock Primary,Brazil,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,39400000
Livestock Primary,Brazil,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,2313
Livestock Primary,Brazil,Production,Beef and Buffalo Meat,2010,tonnes,9115000
Livestock Primary,Brazil,Milk Animals,"Milk,Total",2010,Head,27374562
Livestock Primary,Brazil,Yield,"Milk,Total",2010,hg/An,11310
Livestock Primary,Brazil,Production,"Milk,Total",2010,tonnes,30961066
Livestock Primary,Costa Rica,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,418463
Livestock Primary,Costa Rica,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,2330
Livestock Primary,Costa Rica,Production,Beef and Buffalo Meat,2010,tonnes,97486
Livestock Primary,Costa Rica,Milk Animals,"Milk,Total",2010,Head,488369
Livestock Primary,Costa Rica,Yield,"Milk,Total",2010,hg/An,19488
Livestock Primary,Costa Rica,Production,"Milk,Total",2010,tonnes,951746
Livestock Primary,France,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,5162943
Livestock Primary,France,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,2964
Livestock Primary,France,Production,Beef and Buffalo Meat,2010,tonnes,1530258
Livestock Primary,France,Milk Animals,"Milk,Total",2010,Head,6022508
Livestock Primary,France,Yield,"Milk,Total",2010,hg/An,40192
Livestock Primary,France,Production,"Milk,Total",2010,tonnes,24205636
Livestock Primary,India,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,20890000
Livestock Primary,India,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,1218
Livestock Primary,India,Production,Beef and Buffalo Meat,2010,tonnes,2543671
Livestock Primary,India,Milk Animals,"Milk,Total",2010,Head,119186302
Livestock Primary,India,Yield,"Milk,Total",2010,hg/An,10242
Livestock Primary,India,Production,"Milk,Total",2010,tonnes,122069689
Livestock Primary,Ireland,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,1716600
Livestock Primary,Ireland,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,3257
Livestock Primary,Ireland,Production,Beef and Buffalo Meat,2010,tonnes,559100
Livestock Primary,Ireland,Milk Animals,"Milk,Total",2010,Head,1070800
Livestock Primary,Ireland,Yield,"Milk,Total",2010,hg/An,49748
Livestock Primary,Ireland,Production,"Milk,Total",2010,tonnes,5327000
Livestock Primary,Netherlands,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,2057000
Livestock Primary,Netherlands,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,1889
Livestock Primary,Netherlands,Production,Beef and Buffalo Meat,2010,tonnes,388610
Livestock Primary,Netherlands,Milk Animals,"Milk,Total",2010,Head,1804820
Livestock Primary,Netherlands,Yield,"Milk,Total",2010,hg/An,65409
Livestock Primary,Netherlands,Production,"Milk,Total",2010,tonnes,11805073
Livestock Primary,United States of America,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,35285000
Livestock Primary,United States of America,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,3350
Livestock Primary,United States of America,Production,Beef and Buffalo Meat,2010,tonnes,11818953
Livestock Primary,United States of America,Milk Animals,"Milk,Total",2010,Head,9479000
Livestock Primary,United States of America,Yield,"Milk,Total",2010,hg/An,92331
Livestock Primary,United States of America,Production,"Milk,Total",2010,tonnes,87520952
