Domain,Area,Element,Item,Year,Unit,Value
Food Balances (old methodology and population),Afghanistan,Total Population - Both sexes,Population,2010,1000 persons,28398
Food Balances (old methodology and population),Albania,Total Population - Both sexes,Population,2010,1000 persons,3150
Food Balances (old methodology and population),Algeria,Total Population - Both sexes,Population,2010,1000 persons,37063
Food Balances (old methodology and population),Angola,Total Population - Both sexes,Population,2010,1000 persons,19549
Food Balances (old methodology and population),Antigua and Barbuda,Total Population - Both sexes,Population,2010,1000 persons,87
Food Balances (old methodology and population),Argentina,Total Population - Both sexes,Population,2010,1000 persons,40374
Food Balances (old methodology and population),Armenia,Total Population - Both sexes,Population,2010,1000 persons,2963
Food Balances (old methodology and population),Australia,Total Population - Both sexes,Population,2010,1000 persons,22404
Food Balances (old methodology and population),Austria,Total Population - Both sexes,Population,2010,1000 persons,8402
Food Balances (old methodology and population),Azerbaijan,Total Population - Both sexes,Population,2010,1000 persons,9095
Food Balances (old methodology and population),Bahamas,Total Population - Both sexes,Population,2010,1000 persons,360
Food Balances (old methodology and population),Bangladesh,Total Population - Both sexes,Population,2010,1000 persons,151125
Food Balances (old methodology and population),Barbados,Total Population - Both sexes,Population,2010,1000 persons,280
Food Balances (old methodology and population),Belarus,Total Population - Both sexes,Population,2010,1000 persons,9491
Food Balances (old methodology and population),Belgium,Total Population - Both sexes,Population,2010,1000 persons,10941
Food Balances (old methodology and population),Belgium-Luxembourg,Total Population - Both sexes,Population,2010,1000 persons,0
Food Balances (old methodology and population),Belize,Total Population - Both sexes,Population,2010,1000 persons,309
Food Balances (old methodology and population),Benin,Total Population - Both sexes,Population,2010,1000 persons,9510
Food Balances (old methodology and population),Bermuda,Total Population - Both sexes,Population,2010,1000 persons,65
Food Balances (old methodology and population),Bolivia (Plurinational State of),Total Population - Both sexes,Population,2010,1000 persons,10157
Food Balances (old methodology and population),Bosnia and Herzegovina,Total Population - Both sexes,Population,2010,1000 persons,3846
Food Balances (old methodology and population),Botswana,Total Population - Both sexes,Population,2010,1000 persons,1969
Food Balances (old methodology and population),Brazil,Total Population - Both sexes,Population,2010,1000 persons,195210
Food Balances (old methodology and population),Brunei Darussalam,Total Population - Both sexes,Population,2010,1000 persons,401
Food Balances (old methodology and population),Bulgaria,Total Population - Both sexes,Population,2010,1000 persons,7389
Food Balances (old methodology and population),Burkina Faso,Total Population - Both sexes,Population,2010,1000 persons,15540
Food Balances (old methodology and population),Cabo Verde,Total Population - Both sexes,Population,2010,1000 persons,488
Food Balances (old methodology and population),Cambodia,Total Population - Both sexes,Population,2010,1000 persons,14365
Food Balances (old methodology and population),Cameroon,Total Population - Both sexes,Population,2010,1000 persons,20624
Food Balances (old methodology and population),Canada,Total Population - Both sexes,Population,2010,1000 persons,34126
Food Balances (old methodology and population),Central African Republic,Total Population - Both sexes,Population,2010,1000 persons,4350
Food Balances (old methodology and population),Chad,Total Population - Both sexes,Population,2010,1000 persons,11721
