Domain,Area,Element,Item,Year,Unit,Value
Food Balances (old methodology and population),Afghanistan,Production,Grand Total,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Vegetal Products,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Animal Products,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Cereals - Excluding Beer,2010,1000 tonnes,5733
Food Balances (old methodology and population),Afghanistan,Production,Wheat and products,2010,1000 tonnes,4532
Food Balances (old methodology and population),Afghanistan,Production,Rice (Milled Equivalent),2010,1000 tonnes,448
Food Balances (old methodology and population),Afghanistan,Production,Barley and products,2010,1000 tonnes,437
Food Balances (old methodology and population),Afghanistan,Production,Maize and products,2010,1000 tonnes,301
Food Balances (old methodology and population),Afghanistan,Production,Rye and products,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Oats,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Millet and products,2010,1000 tonnes,15
Food Balances (old methodology and population),Afghanistan,Production,Sorghum and products,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,"Cereals, Other",2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Starchy Roots,2010,1000 tonnes,246
Food Balances (old methodology and population),Afghanistan,Production,Cassava and products,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Potatoes and products,2010,1000 tonnes,246
Food Balances (old methodology and population),Afghanistan,Production,Sweet potatoes,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Yams,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,"Roots, Other",2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Sugar Crops,2010,1000 tonnes,108
Food Balances (old methodology and population),Afghanistan,Production,Sugar cane,2010,1000 tonnes,92
Food Balances (old methodology and population),Afghanistan,Production,Sugar beet,2010,1000 tonnes,15
Food Balances (old methodology and population),Afghanistan,Production,Sugar & Sweeteners,2010,1000 tonnes,4
Food Balances (old methodology and population),Afghanistan,Production,Sugar non-centrifugal,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Sugar (Raw Equivalent),2010,1000 tonnes,2
Food Balances (old methodology and population),Afghanistan,Production,"Sweeteners, Other",2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Honey,2010,1000 tonnes,2
Food Balances (old methodology and population),Afghanistan,Production,Pulses,2010,1000 tonnes,53
Food Balances (old methodology and population),Afghanistan,Production,Beans,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Peas,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,"Pulses, Other and products",2010,1000 tonnes,53
Food Balances (old methodology and population),Afghanistan,Production,Treenuts,2010,1000 tonnes,71
Food Balances (old methodology and population),Afghanistan,Production,Nuts and products,2010,1000 tonnes,71
Food Balances (old methodology and population),Afghanistan,Production,Oilcrops,2010,1000 tonnes,64
Food Balances (old methodology and population),Afghanistan,Production,Soyabeans,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Groundnuts (Shelled Eq),2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Sunflower seed,2010,1000 tonnes,2
Food Balances (old methodology and population),Afghanistan,Production,Rape and Mustardseed,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Cottonseed,2010,1000 tonnes,21
Food Balances (old methodology and population),Afghanistan,Production,Coconuts - Incl Copra,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Sesame seed,2010,1000 tonnes,32
Food Balances (old methodology and population),Afghanistan,Production,Palm kernels,2010,t,0
Food Balances (old methodology and population),Afghanistan,Production,Olives (including preserved),2010,1000 tonnes,7
Food Balances (old methodology and population),Afghanistan,Production,"Oilcrops, Other",2010,1000 tonnes,1
Food Balances (old methodology and population),Afghanistan,Production,Vegetable Oils,2010,1000 tonnes,6
