Domain,Area,Element,Item,Year,Unit,Value
Food Balances (old methodology and population),Brazil,Production,Wheat and products,2010,1000 tonnes,6171
Food Balances (old methodology and population),Brazil,Production,Rice (Milled Equivalent),2010,1000 tonnes,7494
Food Balances (old methodology and population),Brazil,Production,Barley and products,2010,1000 tonnes,279
Food Balances (old methodology and population),Brazil,Production,Maize and products,2010,1000 tonnes,55364
Food Balances (old methodology and population),Brazil,Production,Rye and products,2010,1000 tonnes,3
Food Balances (old methodology and population),Brazil,Production,Oats,2010,1000 tonnes,395
Food Balances (old methodology and population),Brazil,Production,Millet and products,2010,,00
Food Balances (old methodology and population),Brazil,Production,Sorghum and products,2010,1000 tonnes,1532
Food Balances (old methodology and population),Brazil,Production,"Cereals, Other",2010,1000 tonnes,181
Food Balances (old methodology and population),Brazil,Production,Cassava and products,2010,1000 tonnes,24967
Food Balances (old methodology and population),Brazil,Production,Potatoes and products,2010,1000 tonnes,3548
Food Balances (old methodology and population),Brazil,Production,Sweet potatoes,2010,1000 tonnes,495
Food Balances (old methodology and population),Brazil,Production,Yams,2010,1000 tonnes,233
Food Balances (old methodology and population),Brazil,Production,"Roots, Other",2010,,00
Food Balances (old methodology and population),Brazil,Production,Sugar cane,2010,1000 tonnes,717464
Food Balances (old methodology and population),Brazil,Production,Sugar beet,2010,,00
Food Balances (old methodology and population),Brazil,Production,Sugar non-centrifugal,2010,1000 tonnes,462
Food Balances (old methodology and population),Brazil,Production,Sugar (Raw Equivalent),2010,1000 tonnes,39872
Food Balances (old methodology and population),Brazil,Production,"Sweeteners, Other",2010,1000 tonnes,82
Food Balances (old methodology and population),Brazil,Production,Honey,2010,1000 tonnes,38
Food Balances (old methodology and population),Brazil,Production,Beans,2010,1000 tonnes,3159
Food Balances (old methodology and population),Brazil,Production,Peas,2010,1000 tonnes,6
Food Balances (old methodology and population),Brazil,Production,"Pulses, Other and products",2010,1000 tonnes,7
Food Balances (old methodology and population),Brazil,Production,Nuts and products,2010,1000 tonnes,153
Food Balances (old methodology and population),Brazil,Production,Soyabeans,2010,1000 tonnes,68756
Food Balances (old methodology and population),Brazil,Production,Groundnuts (Shelled Eq),2010,1000 tonnes,183
Food Balances (old methodology and population),Brazil,Production,Sunflower seed,2010,1000 tonnes,87
Food Balances (old methodology and population),Brazil,Production,Rape and Mustardseed,2010,1000 tonnes,70
Food Balances (old methodology and population),Brazil,Production,Cottonseed,2010,1000 tonnes,1858
Food Balances (old methodology and population),Brazil,Production,Coconuts - Incl Copra,2010,1000 tonnes,2843
Food Balances (old methodology and population),Brazil,Production,Sesame seed,2010,1000 tonnes,5
Food Balances (old methodology and population),Brazil,Production,Palm kernels,2010,1000 tonnes,209
Food Balances (old methodology and population),Brazil,Production,Olives (including preserved),2010,1000 tonnes,0
Food Balances (old methodology and population),Brazil,Production,"Oilcrops, Other",2010,1000 tonnes,134
Food Balances (old methodology and population),Brazil,Production,Soyabean Oil,2010,1000 tonnes,6928
Food Balances (old methodology and population),Brazil,Production,Groundnut Oil,2010,1000 tonnes,24
Food Balances (old methodology and population),Brazil,Production,Sunflowerseed Oil,2010,1000 tonnes,33
Food Balances (old methodology and population),Brazil,Production,Rape and Mustard Oil,2010,1000 tonnes,35
Food Balances (old methodology and population),Brazil,Production,Cottonseed Oil,2010,1000 tonnes,242
Food Balances (old methodology and population),Brazil,Production,Palmkernel Oil,2010,1000 tonnes,117
Food Balances (old methodology and population),Brazil,Production,Palm Oil,2010,1000 tonnes,250
Food Balances (old methodology and population),Brazil,Production,Coconut Oil,2010,1000 tonnes,2
Food Balances (old methodology and population),Brazil,Production,Sesameseed Oil,2010,,00
Food Balances (old methodology and population),Brazil,Production,Olive Oil,2010,,00
Food Balances (old methodology and population),Brazil,Production,Ricebran Oil,2010,1000 tonnes,15
Food Balances (old methodology and population),Brazil,Production,Maize Germ Oil,2010,1000 tonnes,80
Food Balances (old methodology and population),Brazil,Production,"Oilcrops Oil, Other",2010,1000 tonnes,144
Food Balances (old methodology and population),Brazil,Production,Tomatoes and products,2010,1000 tonnes,4107
Food Balances (old methodology and population),Brazil,Production,Onions,2010,1000 tonnes,1753
Food Balances (old methodology and population),Brazil,Production,"Vegetables, Other",2010,1000 tonnes,5373
Food Balances (old methodology and population),Brazil,Production,"Oranges, Mandarines",2010,1000 tonnes,19625
