Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2511,Wheat and products,2010,2010,kg,65.72
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2511,Wheat and products,2010,2010,g/capita/day,15.99
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2010,2010,kg,54.01
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2010,2010,g/capita/day,10.24
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2513,Barley and products,2010,2010,kg,0.95
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2513,Barley and products,2010,2010,g/capita/day,0.19
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2514,Maize and products,2010,2010,kg,17.38
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2514,Maize and products,2010,2010,g/capita/day,3.46
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2515,Rye and products,2010,2010,kg,0.83
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2515,Rye and products,2010,2010,g/capita/day,0.17
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2516,Oats,2010,2010,kg,0.59
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2516,Oats,2010,2010,g/capita/day,0.13
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2517,Millet and products,2010,2010,kg,3.5
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2517,Millet and products,2010,2010,g/capita/day,0.76
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2518,Sorghum and products,2010,2010,kg,3.65
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2518,Sorghum and products,2010,2010,g/capita/day,0.9
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2520,"Cereals, Other",2010,2010,kg,0.77
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2520,"Cereals, Other",2010,2010,g/capita/day,0.18
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2532,Cassava and products,2010,2010,kg,13.86
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2532,Cassava and products,2010,2010,g/capita/day,0.24
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2531,Potatoes and products,2010,2010,kg,33.7
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2531,Potatoes and products,2010,2010,g/capita/day,1.48
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2533,Sweet potatoes,2010,2010,kg,7.94
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2533,Sweet potatoes,2010,2010,g/capita/day,0.23
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2535,Yams,2010,2010,kg,4.18
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2535,Yams,2010,2010,g/capita/day,0.18
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2534,"Roots, Other",2010,2010,kg,1.87
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2534,"Roots, Other",2010,2010,g/capita/day,0.08
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2536,Sugar cane,2010,2010,kg,4.34
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2536,Sugar cane,2010,2010,g/capita/day,0.02
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2537,Sugar beet,2010,2010,kg,0.01
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2537,Sugar beet,2010,2010,g/capita/day,0
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2541,Sugar non-centrifugal,2010,2010,kg,1.09
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2541,Sugar non-centrifugal,2010,2010,g/capita/day,0.03
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2542,Sugar (Raw Equivalent),2010,2010,kg,19.77
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2543,"Sweeteners, Other",2010,2010,kg,2.92
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2543,"Sweeteners, Other",2010,2010,g/capita/day,0.01
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2745,Honey,2010,2010,kg,0.23
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2745,Honey,2010,2010,g/capita/day,0
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2546,Beans,2010,2010,kg,2.64
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2546,Beans,2010,2010,g/capita/day,1.56
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2547,Peas,2010,2010,kg,0.77
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2547,Peas,2010,2010,g/capita/day,0.47
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2549,"Pulses, Other and products",2010,2010,kg,3.4
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2549,"Pulses, Other and products",2010,2010,g/capita/day,1.98
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2551,Nuts and products,2010,2010,kg,2.2
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2551,Nuts and products,2010,2010,g/capita/day,0.4
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2555,Soyabeans,2010,2010,kg,1.46
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2555,Soyabeans,2010,2010,g/capita/day,1.29
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2556,Groundnuts (Shelled Eq),2010,2010,kg,1.63
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2556,Groundnuts (Shelled Eq),2010,2010,g/capita/day,1.03
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2557,Sunflower seed,2010,2010,kg,0.08
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2557,Sunflower seed,2010,2010,g/capita/day,0.02
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2558,Rape and Mustardseed,2010,2010,kg,0
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2558,Rape and Mustardseed,2010,2010,g/capita/day,0
FBSH,Food Balances (old methodology and population),5000,World,645,Food supply quantity (kg/capita/yr),2559,Cottonseed,2010,2010,kg,0
FBSH,Food Balances (old methodology and population),5000,World,674,Protein supply quantity (g/capita/day),2559,Cottonseed,2010,2010,g/capita/day,0
