Domain|Area|Element|Item|Year|Unit|Value
Rice Cultivation|Afghanistan|Area harvested|Rice, paddy|2010|ha|208000
Rice Cultivation|Afghanistan|Implied emission factor for CH4 (Rice cultivation)|Rice, paddy|2010|g CH4/m2|14
Rice Cultivation|Afghanistan|Emissions (CH4) (Rice cultivation)|Rice, paddy|2010|gigagrams|29.12
Rice Cultivation|Albania|Area harvested|Rice, paddy|2010||0
Rice Cultivation|Albania|Implied emission factor for CH4 (Rice cultivation)|Rice, paddy|2010||0
Rice Cultivation|Albania|Emissions (CH4) (Rice cultivation)|Rice, paddy|2010||0
Rice Cultivation|Algeria|Area harvested|Rice, paddy|2010|ha|203
Rice Cultivation|Algeria|Implied emission factor for CH4 (Rice cultivation)|Rice, paddy|2010|g CH4/m2|28
Rice Cultivation|Algeria|Emissions (CH4) (Rice cultivation)|Rice, paddy|2010|gigagrams|0.0569
Rice Cultivation|American Samoa|Area harvested|Rice, paddy|2010||0
Rice Cultivation|American Samoa|Implied emission factor for CH4 (Rice cultivation)|Rice, paddy|2010||0
Rice Cultivation|American Samoa|Emissions (CH4) (Rice cultivation)|Rice, paddy|2010||0
Rice Cultivation|Andorra|Area harvested|Rice, paddy|2010||0
Rice Cultivation|Andorra|Implied emission factor for CH4 (Rice cultivation)|Rice, paddy|2010||0
Rice Cultivation|Andorra|Emissions (CH4) (Rice cultivation)|Rice, paddy|2010||0
Rice Cultivation|Angola|Area harvested|Rice, paddy|2010|ha|23905
Rice Cultivation|Angola|Implied emission factor for CH4 (Rice cultivation)|Rice, paddy|2010|g CH4/m2|28
Rice Cultivation|Angola|Emissions (CH4) (Rice cultivation)|Rice, paddy|2010|gigagrams|6.6934
Rice Cultivation|Anguilla|Area harvested|Rice, paddy|2010||0
Rice Cultivation|Anguilla|Implied emission factor for CH4 (Rice cultivation)|Rice, paddy|2010||0
Rice Cultivation|Anguilla|Emissions (CH4) (Rice cultivation)|Rice, paddy|2010||0
Rice Cultivation|Antigua and Barbuda|Area harvested|Rice, paddy|2010||0
Rice Cultivation|Antigua and Barbuda|Implied emission factor for CH4 (Rice cultivation)|Rice, paddy|2010||0
Rice Cultivation|Antigua and Barbuda|Emissions (CH4) (Rice cultivation)|Rice, paddy|2010||0
