Domain,Area,Element,Item,Year,Unit,Value
Livestock Primary,Brazil,Producing Animals/Slaughtered,"Hides, buffalo, fresh",2010,,0
Livestock Primary,Brazil,Yield,"Hides, buffalo, fresh",2010,,0
Livestock Primary,Brazil,Production,"Hides, buffalo, fresh",2010,,0
Livestock Primary,Brazil,Producing Animals/Slaughtered,"Hides, cattle, fresh",2010,Head,39400000
Livestock Primary,Brazil,Yield,"Hides, cattle, fresh",2010,hg/An,231
Livestock Primary,Brazil,Production,"Hides, cattle, fresh",2010,tonnes,911500
Livestock Primary,Brazil,Producing Animals/Slaughtered,"Meat, pig",2010,Head,34290000
Livestock Primary,Brazil,Yield/Carcass Weight,"Meat, pig",2010,hg/An,932
Livestock Primary,Brazil,Production,"Meat, pig",2010,tonnes,3195000
Livestock Primary,Brazil,Producing Animals/Slaughtered,"Skins, goat, fresh",2010,Head,2514000
Livestock Primary,Brazil,Yield,"Skins, goat, fresh",2010,hg/An,21
Livestock Primary,Brazil,Production,"Skins, goat, fresh",2010,tonnes,5157
Livestock Primary,Brazil,Producing Animals/Slaughtered,"Skins, pig, fresh",2010,Head,34290000
Livestock Primary,Brazil,Yield,"Skins, pig, fresh",2010,,0
Livestock Primary,Brazil,Production,"Skins, pig, fresh",2010,,0
Livestock Primary,Brazil,Producing Animals/Slaughtered,"Skins, sheep, fresh",2010,Head,5150000
Livestock Primary,Brazil,Yield,"Skins, sheep, fresh",2010,hg/An,28
Livestock Primary,Brazil,Production,"Skins, sheep, fresh",2010,tonnes,14614
Livestock Primary,Brazil,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,39400000
Livestock Primary,Brazil,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,2313
Livestock Primary,Brazil,Production,Beef and Buffalo Meat,2010,tonnes,9115000
Livestock Primary,Brazil,Laying,Eggs Primary,2010,1000 Head,308200
Livestock Primary,Brazil,Yield,Eggs Primary,2010,100mg/An,67729
Livestock Primary,Brazil,Production,Eggs Primary,2010,tonnes,2087400
Livestock Primary,Brazil,Production,"Meat indigenous, total",2010,tonnes,23882330
Livestock Primary,Brazil,Producing Animals/Slaughtered,"Meat, Poultry",2010,1000 Head,5070021
Livestock Primary,Brazil,Yield/Carcass Weight,"Meat, Poultry",2010,0.1g/An,22061
Livestock Primary,Brazil,Production,"Meat, Poultry",2010,tonnes,11185226
Livestock Primary,Brazil,Milk Animals,"Milk, Total",2010,Head,27374562
Livestock Primary,Brazil,Yield,"Milk, Total",2010,hg/An,11310
Livestock Primary,Brazil,Production,"Milk, Total",2010,tonnes,30961066
Livestock Primary,Brazil,Producing Animals/Slaughtered,Sheep and Goat Meat,2010,Head,7664000
Livestock Primary,Brazil,Yield/Carcass Weight,Sheep and Goat Meat,2010,hg/An,145
Livestock Primary,Brazil,Production,Sheep and Goat Meat,2010,tonnes,111300
Livestock Primary,Costa Rica,Producing Animals/Slaughtered,"Hides, buffalo, fresh",2010,,0
Livestock Primary,Costa Rica,Yield,"Hides, buffalo, fresh",2010,,0
Livestock Primary,Costa Rica,Production,"Hides, buffalo, fresh",2010,,0
Livestock Primary,Costa Rica,Producing Animals/Slaughtered,"Hides, cattle, fresh",2010,Head,418463
Livestock Primary,Costa Rica,Yield,"Hides, cattle, fresh",2010,hg/An,385
Livestock Primary,Costa Rica,Production,"Hides, cattle, fresh",2010,tonnes,16115
Livestock Primary,Costa Rica,Producing Animals/Slaughtered,"Meat, pig",2010,Head,614228
Livestock Primary,Costa Rica,Yield/Carcass Weight,"Meat, pig",2010,hg/An,758
Livestock Primary,Costa Rica,Production,"Meat, pig",2010,tonnes,46528
Livestock Primary,Costa Rica,Producing Animals/Slaughtered,"Skins, goat, fresh",2010,Head,1580
Livestock Primary,Costa Rica,Yield,"Skins, goat, fresh",2010,hg/An,25
Livestock Primary,Costa Rica,Production,"Skins, goat, fresh",2010,tonnes,4
Livestock Primary,Costa Rica,Producing Animals/Slaughtered,"Skins, pig, fresh",2010,Head,614228
Livestock Primary,Costa Rica,Yield,"Skins, pig, fresh",2010,,0
Livestock Primary,Costa Rica,Production,"Skins, pig, fresh",2010,,0
Livestock Primary,Costa Rica,Producing Animals/Slaughtered,"Skins, sheep, fresh",2010,Head,900
Livestock Primary,Costa Rica,Yield,"Skins, sheep, fresh",2010,hg/An,30
Livestock Primary,Costa Rica,Production,"Skins, sheep, fresh",2010,tonnes,3
Livestock Primary,Costa Rica,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,418463
Livestock Primary,Costa Rica,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,2330
Livestock Primary,Costa Rica,Production,Beef and Buffalo Meat,2010,tonnes,97486
Livestock Primary,Costa Rica,Laying,Eggs Primary,2010,1000 Head,2650
Livestock Primary,Costa Rica,Yield,Eggs Primary,2010,100mg/An,202058
Livestock Primary,Costa Rica,Production,Eggs Primary,2010,tonnes,53546
Livestock Primary,Costa Rica,Production,"Meat indigenous, total",2010,tonnes,255907
Livestock Primary,Costa Rica,Producing Animals/Slaughtered,"Meat, Poultry",2010,1000 Head,63727
Livestock Primary,Costa Rica,Yield/Carcass Weight,"Meat, Poultry",2010,0.1g/An,18150
Livestock Primary,Costa Rica,Production,"Meat, Poultry",2010,tonnes,115663
Livestock Primary,Costa Rica,Milk Animals,"Milk, Total",2010,Head,488369
Livestock Primary,Costa Rica,Yield,"Milk, Total",2010,hg/An,19488
Livestock Primary,Costa Rica,Production,"Milk, Total",2010,tonnes,951746
Livestock Primary,Costa Rica,Producing Animals/Slaughtered,Sheep and Goat Meat,2010,Head,2480
Livestock Primary,Costa Rica,Yield/Carcass Weight,Sheep and Goat Meat,2010,hg/An,131
Livestock Primary,Costa Rica,Production,Sheep and Goat Meat,2010,tonnes,32
Livestock Primary,France,Producing Animals/Slaughtered,"Hides, buffalo, fresh",2010,,0
Livestock Primary,France,Yield,"Hides, buffalo, fresh",2010,,0
Livestock Primary,France,Production,"Hides, buffalo, fresh",2010,,0
Livestock Primary,France,Producing Animals/Slaughtered,"Hides, cattle, fresh",2010,Head,5162943
Livestock Primary,France,Yield,"Hides, cattle, fresh",2010,hg/An,285
Livestock Primary,France,Production,"Hides, cattle, fresh",2010,tonnes,147140
Livestock Primary,France,Producing Animals/Slaughtered,"Meat, pig",2010,Head,25348236
Livestock Primary,France,Yield/Carcass Weight,"Meat, pig",2010,hg/An,889
Livestock Primary,France,Production,"Meat, pig",2010,tonnes,2254688
Livestock Primary,France,Producing Animals/Slaughtered,"Skins, goat, fresh",2010,Head,1178745
Livestock Primary,France,Yield,"Skins, goat, fresh",2010,hg/An,3
Livestock Primary,France,Production,"Skins, goat, fresh",2010,tonnes,302
Livestock Primary,France,Producing Animals/Slaughtered,"Skins, pig, fresh",2010,Head,25348236
Livestock Primary,France,Yield,"Skins, pig, fresh",2010,,0
Livestock Primary,France,Production,"Skins, pig, fresh",2010,,0
Livestock Primary,France,Producing Animals/Slaughtered,"Skins, sheep, fresh",2010,Head,6513656
Livestock Primary,France,Yield,"Skins, sheep, fresh",2010,hg/An,21
Livestock Primary,France,Production,"Skins, sheep, fresh",2010,tonnes,13533
Livestock Primary,France,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,5162943
Livestock Primary,France,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,2964
Livestock Primary,France,Production,Beef and Buffalo Meat,2010,tonnes,1530258
Livestock Primary,France,Laying,Eggs Primary,2010,1000 Head,56473
