"Country","All Classes","Arctic","Boreal, cold","Boreal, very cold","Subtropics, cold","Subtropics, cool","Subtropics, very cold","Subtropics, warm/mod. cool","Temperate, cold","Temperate, cool","Temperate, very cold","Tropics, cool/cold/very cold","Tropics, warm","Undefined"
"Afghanistan",641721.0618062615,0.0,0.0,0.0,50911.376559495926,389540.7945961952,25632.05159175396,170801.54996675253,67.28987121582031,4767.9992208480835,0.0,0.0,0.0,0.0
"Albania",28429.316143095493,0.0,0.0,0.0,95.23558807373047,14958.395898461342,0.0,8127.3450892567635,105.65283203125,5142.044992804527,0.0,0.0,0.0,0.641742467880249
"Algeria",2321707.327469945,0.0,0.0,0.0,0.0,40923.97873592377,0.0,2003715.0577810407,0.0,0.0,0.0,4816.503578186035,272251.7873747945,0.0
"Andorra",475.27252995967865,0.0,0.0,0.0,381.68788373470306,93.58464622497559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Angola",1254625.6043950915,0.0,0.0,0.0,0.0,0.0,0.0,12799.966943204403,0.0,0.0,0.0,231570.41257572174,1010255.2248761654,0.0
"Antigua and Barbuda",448.3978701233864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.75290834903717,1.6449617743492126
"Argentina",2780529.8950131238,6077.237535446882,5694.8185096383095,8834.865234375,23288.95452463627,375501.845156312,23770.7695479393,1746684.3996623158,45740.35446310043,226018.7693413496,23296.712557554245,218315.2639104128,77305.90457004309,0.0
"Armenia",29595.641939163208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.658941268921,28466.982997894287,0.0,0.0,0.0,0.0
"Australia",7709156.2121937275,124.96950697898865,0.0,0.0,3009.0358924865723,144800.2858455181,0.0,5243743.890288055,699.2848358154297,11051.693099021912,0.0,82.00379180908203,2305584.0060979724,61.04283607006073
"Austria",83617.77830225229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11635.460933029652,64584.273861289024,7398.043507933617,0.0,0.0,0.0
"Azerbaijan",164691.94669276476,0.0,0.0,0.0,0.0,2345.4072370529175,0.0,51.07381820678711,1141.3076728582382,86893.72288757563,0.0,0.0,0.0,74260.43507707119
"Bahamas",13375.653488755226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13356.934613108635,18.718875646591187
"Bahrain",675.7544385194778,0.0,0.0,0.0,0.0,0.0,0.0,675.7544385194778,0.0,0.0,0.0,0.0,0.0,0.0
"Bangladesh",139322.24794864655,0.0,0.0,0.0,0.0,0.0,0.0,18565.62566500902,0.0,0.0,0.0,0.0,120638.65645992756,117.96582370996475
"Barbados",443.949586391449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.949586391449,0.0
"Belarus",206292.90026408434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206292.90026408434,0.0,0.0,0.0,0.0
"Belgium",30510.576554477215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30510.576554477215,0.0,0.0,0.0,0.0
"Belize",22365.708802700043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22364.059512913227,1.6492897868156433
"Benin",116281.23477959633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116281.23477959633,0.0
"Bhutan",37760.68150395155,0.0,0.0,0.0,2566.222999572754,12584.224102973938,8209.438524901867,14400.79587650299,0.0,0.0,0.0,0.0,0.0,0.0
"Bolivia (Plurinational State of)",1089819.7595829368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322694.486489594,767125.2730933428,0.0
"Bosnia and Herzegovina",50998.04054248333,0.0,0.0,0.0,0.0,2473.0426102876663,0.0,202.32414615154266,247.24408340454102,48075.42970263958,0.0,0.0,0.0,0.0
"Botswana",580279.8619571924,0.0,0.0,0.0,0.0,0.0,0.0,44720.37298947573,0.0,0.0,0.0,20654.872137010098,514904.6168307066,0.0
"Brazil",8532744.472185314,0.0,0.0,0.0,0.0,0.0,0.0,444761.8838529587,0.0,0.0,0.0,208381.65255975723,7879591.925835609,9.00993698835373
"Brunei Darussalam",5901.925044834614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5901.925044834614,0.0
"Bulgaria",111017.96104091406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335.8608322143555,109490.78079646826,191.3194122314453,0.0,0.0,0.0
"Burkina Faso",274972.51857227087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274972.51857227087,0.0
"Burundi",27127.871235847473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11603.845258712769,15524.025977134705,0.0
"Cambodia",182498.1599241495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182496.4673190117,1.6926051378250122
"Cameroon",469272.53762978315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7175.648488998413,462096.88914078474,0.0
"Canada",9806200.15627531,2079275.487126857,3139991.3595068753,369493.6037685871,0.0,0.0,0.0,0.0,2318139.997669995,1687761.4036678076,210737.6208472848,0.0,0.0,800.683687902987
