,Country,Feed,Item,Value,Unit
0,Brazil,Grains,"Cattle, dairy",265.13248589213566,kg DM/head
1,Brazil,Grass,"Cattle, dairy",2422.4384854970453,kg DM/head
2,Brazil,Grains,"Cattle, non-dairy",184.8440341781066,kg DM/head
3,Brazil,Grass,"Cattle, non-dairy",1965.306679070757,kg DM/head
4,Brazil,Grains,Swine,53.33429190653146,kg DM/head
5,Brazil,Grass,Swine,6.5260496984142575,kg DM/head
6,Brazil,Grains,Poultry Birds,27.78895207698092,kg DM/head
7,Brazil,Grass,Poultry Birds,0.733146591299008,kg DM/head
8,Brazil,Grains,"Chickens, layers",48.708714317416934,kg DM/head
9,Brazil,Grass,"Chickens, layers",0.0,kg DM/head
10,Brazil,Grains,Sheep and Goats,0.0,kg DM/head
11,Brazil,Grass,Sheep and Goats,257.35728279679915,kg DM/head
12,France,Grains,"Cattle, dairy",330.73870970570823,kg DM/head
13,France,Grass,"Cattle, dairy",2363.008132259559,kg DM/head
14,France,Grains,"Cattle, non-dairy",76.66890260638932,kg DM/head
15,France,Grass,"Cattle, non-dairy",1955.083746633857,kg DM/head
16,France,Grains,Swine,55.22452475164971,kg DM/head
17,France,Grass,Swine,0.0,kg DM/head
18,France,Grains,Poultry Birds,39.048400312336376,kg DM/head
19,France,Grass,Poultry Birds,0.0,kg DM/head
20,France,Grains,"Chickens, layers",102.96561529234097,kg DM/head
21,France,Grass,"Chickens, layers",0.0,kg DM/head
22,France,Grains,Sheep and Goats,9.584328263369008,kg DM/head
23,France,Grass,Sheep and Goats,226.1107260590343,kg DM/head
24,India,Grains,"Cattle, dairy",88.33952336726799,kg DM/head
25,India,Grass,"Cattle, dairy",1862.0779320662525,kg DM/head
26,India,Grains,"Cattle, non-dairy",0.0,kg DM/head
27,India,Grass,"Cattle, non-dairy",1608.3188758791835,kg DM/head
28,India,Grains,Swine,34.989084266417,kg DM/head
29,India,Grass,Swine,9.120798974860831,kg DM/head
30,India,Grains,Poultry Birds,18.187494563678243,kg DM/head
31,India,Grass,Poultry Birds,6.030848375048084,kg DM/head
32,India,Grains,"Chickens, layers",40.98669057297237,kg DM/head
33,India,Grass,"Chickens, layers",0.0,kg DM/head
34,India,Grains,Sheep and Goats,0.0,kg DM/head
35,India,Grass,Sheep and Goats,204.35362837209453,kg DM/head
36,Ireland,Grains,"Cattle, dairy",278.1088934662869,kg DM/head
37,Ireland,Grass,"Cattle, dairy",2301.2193945302415,kg DM/head
38,Ireland,Grains,"Cattle, non-dairy",45.005674085697216,kg DM/head
39,Ireland,Grass,"Cattle, non-dairy",2008.9598744706816,kg DM/head
40,Ireland,Grains,Swine,51.585277472264124,kg DM/head
41,Ireland,Grass,Swine,0.0,kg DM/head
42,Ireland,Grains,Poultry Birds,35.32475438281628,kg DM/head
43,Ireland,Grass,Poultry Birds,0.0,kg DM/head
44,Ireland,Grains,"Chickens, layers",121.63442856309247,kg DM/head
45,Ireland,Grass,"Chickens, layers",0.0,kg DM/head
46,Ireland,Grains,Sheep and Goats,1.7166670186026003,kg DM/head
47,Ireland,Grass,Sheep and Goats,197.46527266300427,kg DM/head
