Region;System;Herd;Weight;Weight Gain;Day weighted population mix;EF_detailled;CH4 conversion;Digestibility of feed;Feeding Situation;EF;CH4 conversion rate;WG;Digestibility;Intake;Intake computed
North America;All;Calves on milk;125;1;16;0;0;95;Pasture/Range;44.77777778;4.246031746;0.955555556;73.03174603;2870.592621;0
North America;All;Calves on forage;215;1;8;59;6.3;65;Pasture/Range;44.77777778;4.246031746;0.955555556;73.03174603;2870.592621;3299.350454
North America;All;Growing heifers/steers;300;0.9;17;67;6.3;62;Pasture/Range;44.77777778;4.246031746;0.955555556;73.03174603;2870.592621;3573.794468
North America;All;Replacement/growing;400;0.5;11;73;7;62;Pasture/Range;44.77777778;4.246031746;0.955555556;73.03174603;2870.592621;3504.452187
North America;All;Feedlot cattle;500;1.4;11;37;3;75;Stall Fed;44.77777778;4.246031746;0.955555556;73.03174603;2870.592621;5013.550136
Western Europe;All;Replacement/growing;400;0.4;55;57;6.3;65;Pasture/Range;43.47435897;5.088461538;0.370512821;71.58974359;2453.727142;3187.508066
Western Europe;All;Calves on milk;230;0.3;15;0;0;95;Stall Fed;43.47435897;5.088461538;0.370512821;71.58974359;2453.727142;0
Western Europe;All;Calves on forage;230;0.3;8;32;6.3;73;Pasture/Range;43.47435897;5.088461538;0.370512821;71.58974359;2453.727142;2009.721685
Eastern Europe;All;Replacement/growing;350;0.4;27;53;6.3;65;Pasture/Range;49.63461538;6.3;0.544230769;65;2775.626963;2963.823289
Eastern Europe;All;Calves on forage;180;0.7;25;46;6.3;65;Pasture/Range;49.63461538;6.3;0.544230769;65;2775.626963;2572.37493
Latin America;High Productivity;Growing heifers/steers;240;0.5;22;45;6.3;63;Pasture/Range;12.30837004;1.507488987;0.152422907;20.06167401;1694.589081;2439.02439
Latin America;High Productivity;Replacement/growing;350;0.5;16;70;7;61;Pasture/Range;12.30837004;1.507488987;0.152422907;20.06167401;1694.589081;3306.233062
Latin America;High Productivity;Calves on milk;82;0.5;12;0;0;95;Stall Fed;12.30837004;1.507488987;0.152422907;20.06167401;1694.589081;0
Latin America;High Productivity;Calves on forage;200;0.5;12;44;6.3;63;Pasture/Range;12.30837004;1.507488987;0.152422907;20.06167401;1694.589081;2384.823848
Latin America;High Productivity;Feedlot cattle;460;0.9;4;39;4;74;Stall Fed;12.30837004;1.507488987;0.152422907;20.06167401;1694.589081;3910.569106
Latin America;Low Productivity;Growing heifers/steers;240;0.3;22;47;7;60;Pasture/Range;10.61674009;1.572687225;0.08061674;17.66519824;811.3248834;2183.507549
Latin America;Low Productivity;Replacement/growing;290;0.3;19;54;7;60;Pasture/Range;10.61674009;1.572687225;0.08061674;17.66519824;811.3248834;2508.710801
Latin America;Low Productivity;Calves on milk;60;0.3;10;0;0;95;Stall Fed;10.61674009;1.572687225;0.08061674;17.66519824;811.3248834;0
Latin America;Low Productivity;Calves on forage;145;0.3;10;35;7;60;Pasture/Range;10.61674009;1.572687225;0.08061674;17.66519824;811.3248834;1626.01626
Asia;High Productivity;Replacement/growing;285;0.4;27;41;6.3;68;Pasture/Range;9.883248731;1.82284264;0.130964467;19.6751269;1539.239588;2398.589065
Asia;High Productivity;Calves on forage;125;0.5;30;28;6.3;68;Pasture/Range;9.883248731;1.82284264;0.130964467;19.6751269;1539.239588;1638.060825
Asia;Low Productivity;Replacement/growing;285;0.25;25;44;7;59;Pasture/Range;7.715736041;1.421319797;0.054568528;11.97969543;564.5417662;2010.065815
Asia;Low Productivity;Calves on forage;125;0.3;15;28;7;59;Pasture/Range;7.715736041;1.421319797;0.054568528;11.97969543;564.5417662;1279.132791
Africa;High Productivity;Replacement/growing;285;0.34;41;50;7;60;Pasture/Range;11.76958525;1.774193548;0.091981567;15.2718894;1400.505568;2322.880372
Africa;High Productivity;Calves on forage;125;0.43;14;36;7;61;Pasture/Range;11.76958525;1.774193548;0.091981567;15.2718894;1400.505568;1700.348432
Africa;Low Productivity;Replacement/growing;285;0.2;42;42;7;58;Pasture/Range;10.89400922;2;0.066359447;16.57142857;804.2797311;1886.178862
Africa;Low Productivity;Calves on forage;125;0.3;20;30;7;58;Pasture/Range;10.89400922;2;0.066359447;16.57142857;804.2797311;1347.270616
Middle East;High Productivity;Replacement/growing;285;0.5;42;61;6.3;63;Pasture/Range;17.12217195;1.938461538;0.177375566;19.38461538;2030.642089;3306.233062
Middle East;High Productivity;Calves on forage;125;0.7;26;47;6.3;63;Pasture/Range;17.12217195;1.938461538;0.177375566;19.38461538;2030.642089;2547.425474
Middle East;Low Productivity;Replacement/growing;285;0.25;42;50;7;55;Pasture/Range;11.49321267;1.678733032;0.067420814;13.19004525;901.4066331;2129.307007
Middle East;Low Productivity;Calves on forage;125;0.4;11;40;7;55;Pasture/Range;11.49321267;1.678733032;0.067420814;13.19004525;901.4066331;1703.445606
India;High Productivity;Replacement/growing;200;0.33;45;45;7;60;Pasture/Range;15.24509804;2.745098039;0.129411765;23.52941176;1537.054884;2090.592334
India;High Productivity;Calves on forage;90;0.33;35;31;7;60;Pasture/Range;15.24509804;2.745098039;0.129411765;23.52941176;1537.054884;1440.18583
India;Low Productivity;Replacement/growing;285;0.15;13;13;7;55;Pasture/Range;1.421568627;0.823529412;0.021421569;6.470588235;112.2725513;553.6198219
India;Low Productivity;Calves on forage;125;0.22;11;11;7;55;Pasture/Range;1.421568627;0.823529412;0.021421569;6.470588235;112.2725513;468.4475416
