Production,Productivity,SForest,AD,Sharvest,Rewetting,Area (Mha)
High,HighLow,0,High,0,0,-0.22768779637539183
High,HighLow,0,High,0,25,-0.22768779637539183
High,HighLow,0,High,0,50,-0.22768779637539183
High,HighLow,0,High,0,75,-0.22768779637539183
High,HighLow,0,High,0,100,-0.22768779637539183
High,HighLow,0,High,20,0,-0.22768779637539183
High,HighLow,0,High,20,25,-0.22768779637539183
High,HighLow,0,High,20,50,-0.22768779637539183
High,HighLow,0,High,20,75,-0.22768779637539183
High,HighLow,0,High,20,100,-0.22768779637539183
High,HighLow,0,High,50,0,-0.22768779637539183
High,HighLow,0,High,50,25,-0.22768779637539183
High,HighLow,0,High,50,50,-0.22768779637539183
High,HighLow,0,High,50,75,-0.22768779637539183
High,HighLow,0,High,50,100,-0.22768779637539183
High,HighLow,0,High,83,0,-0.22768779637539183
High,HighLow,0,High,83,25,-0.22768779637539183
High,HighLow,0,High,83,50,-0.22768779637539183
High,HighLow,0,High,83,75,-0.22768779637539183
High,HighLow,0,High,83,100,-0.22768779637539183
High,HighLow,0,Low,0,0,-0.22768779637539183
High,HighLow,0,Low,0,25,-0.22768779637539183
High,HighLow,0,Low,0,50,-0.22768779637539183
High,HighLow,0,Low,0,75,-0.22768779637539183
High,HighLow,0,Low,0,100,-0.22768779637539183
High,HighLow,0,Low,20,0,-0.22768779637539183
High,HighLow,0,Low,20,25,-0.22768779637539183
High,HighLow,0,Low,20,50,-0.22768779637539183
High,HighLow,0,Low,20,75,-0.22768779637539183
High,HighLow,0,Low,20,100,-0.22768779637539183
High,HighLow,0,Low,50,0,-0.22768779637539183
High,HighLow,0,Low,50,25,-0.22768779637539183
High,HighLow,0,Low,50,50,-0.22768779637539183
High,HighLow,0,Low,50,75,-0.22768779637539183
High,HighLow,0,Low,50,100,-0.22768779637539183
High,HighLow,0,Low,83,0,-0.22768779637539183
High,HighLow,0,Low,83,25,-0.22768779637539183
High,HighLow,0,Low,83,50,-0.22768779637539183
High,HighLow,0,Low,83,75,-0.22768779637539183
High,HighLow,0,Low,83,100,-0.22768779637539183
High,HighLow,25,High,0,0,-0.22768779637539183
High,HighLow,25,High,0,25,-0.22768779637539183
High,HighLow,25,High,0,50,-0.22768779637539183
High,HighLow,25,High,0,75,-0.22768779637539183
High,HighLow,25,High,0,100,-0.22768779637539183
High,HighLow,25,High,20,0,-0.22768779637539183
High,HighLow,25,High,20,25,-0.22768779637539183
High,HighLow,25,High,20,50,-0.22768779637539183
High,HighLow,25,High,20,75,-0.22768779637539183
High,HighLow,25,High,20,100,-0.22768779637539183
High,HighLow,25,High,50,0,-0.22768779637539183
High,HighLow,25,High,50,25,-0.22768779637539183
High,HighLow,25,High,50,50,-0.22768779637539183
High,HighLow,25,High,50,75,-0.22768779637539183
High,HighLow,25,High,50,100,-0.22768779637539183
High,HighLow,25,High,83,0,-0.22768779637539183
High,HighLow,25,High,83,25,-0.22768779637539183
High,HighLow,25,High,83,50,-0.22768779637539183
High,HighLow,25,High,83,75,-0.22768779637539183
High,HighLow,25,High,83,100,-0.22768779637539183
High,HighLow,25,Low,0,0,-0.22768779637539183
High,HighLow,25,Low,0,25,-0.22768779637539183
High,HighLow,25,Low,0,50,-0.22768779637539183
High,HighLow,25,Low,0,75,-0.22768779637539183
High,HighLow,25,Low,0,100,-0.22768779637539183
High,HighLow,25,Low,20,0,-0.22768779637539183
High,HighLow,25,Low,20,25,-0.22768779637539183
High,HighLow,25,Low,20,50,-0.22768779637539183
High,HighLow,25,Low,20,75,-0.22768779637539183
High,HighLow,25,Low,20,100,-0.22768779637539183
High,HighLow,25,Low,50,0,-0.22768779637539183
High,HighLow,25,Low,50,25,-0.22768779637539183
High,HighLow,25,Low,50,50,-0.22768779637539183
High,HighLow,25,Low,50,75,-0.22768779637539183
High,HighLow,25,Low,50,100,-0.22768779637539183
High,HighLow,25,Low,83,0,-0.22768779637539183
High,HighLow,25,Low,83,25,-0.22768779637539183
High,HighLow,25,Low,83,50,-0.22768779637539183
High,HighLow,25,Low,83,75,-0.22768779637539183
High,HighLow,25,Low,83,100,-0.22768779637539183
High,HighLow,50,High,0,0,-0.22768779637539183
High,HighLow,50,High,0,25,-0.22768779637539183
High,HighLow,50,High,0,50,-0.22768779637539183
High,HighLow,50,High,0,75,-0.22768779637539183
High,HighLow,50,High,0,100,-0.22768779637539183
High,HighLow,50,High,20,0,-0.22768779637539183
High,HighLow,50,High,20,25,-0.22768779637539183
High,HighLow,50,High,20,50,-0.22768779637539183
High,HighLow,50,High,20,75,-0.22768779637539183
High,HighLow,50,High,20,100,-0.22768779637539183
High,HighLow,50,High,50,0,-0.22768779637539183
High,HighLow,50,High,50,25,-0.22768779637539183
High,HighLow,50,High,50,50,-0.22768779637539183
High,HighLow,50,High,50,75,-0.22768779637539183
High,HighLow,50,High,50,100,-0.22768779637539183
High,HighLow,50,High,83,0,-0.22768779637539183
High,HighLow,50,High,83,25,-0.22768779637539183
High,HighLow,50,High,83,50,-0.22768779637539183
High,HighLow,50,High,83,75,-0.22768779637539183
High,HighLow,50,High,83,100,-0.22768779637539183
High,HighLow,50,Low,0,0,-0.22768779637539183
High,HighLow,50,Low,0,25,-0.22768779637539183
High,HighLow,50,Low,0,50,-0.22768779637539183
High,HighLow,50,Low,0,75,-0.22768779637539183
High,HighLow,50,Low,0,100,-0.22768779637539183
High,HighLow,50,Low,20,0,-0.22768779637539183
High,HighLow,50,Low,20,25,-0.22768779637539183
High,HighLow,50,Low,20,50,-0.22768779637539183
High,HighLow,50,Low,20,75,-0.22768779637539183
High,HighLow,50,Low,20,100,-0.22768779637539183
High,HighLow,50,Low,50,0,-0.22768779637539183
High,HighLow,50,Low,50,25,-0.22768779637539183
High,HighLow,50,Low,50,50,-0.22768779637539183
High,HighLow,50,Low,50,75,-0.22768779637539183
High,HighLow,50,Low,50,100,-0.22768779637539183
High,HighLow,50,Low,83,0,-0.22768779637539183
High,HighLow,50,Low,83,25,-0.22768779637539183
High,HighLow,50,Low,83,50,-0.22768779637539183
High,HighLow,50,Low,83,75,-0.22768779637539183
High,HighLow,50,Low,83,100,-0.22768779637539183
High,HighLow,75,High,0,0,-0.22768779637539183
High,HighLow,75,High,0,25,-0.22768779637539183
High,HighLow,75,High,0,50,-0.22768779637539183
High,HighLow,75,High,0,75,-0.22768779637539183
High,HighLow,75,High,0,100,-0.22768779637539183
High,MediumHigh,0,High,0,0,-1.0612014063369557
High,MediumHigh,0,High,0,25,-1.0612014063369557
High,MediumHigh,0,High,0,50,-1.0612014063369557
High,MediumHigh,0,High,0,75,-1.0612014063369557
High,MediumHigh,0,High,0,100,-1.0612014063369557
High,MediumHigh,0,High,20,0,-1.0612014063369557
High,MediumHigh,0,High,20,25,-1.0612014063369557
High,MediumHigh,0,High,20,50,-1.0612014063369557
High,MediumHigh,0,High,20,75,-1.0612014063369557
High,MediumHigh,0,High,20,100,-1.0612014063369557
High,MediumHigh,0,High,50,0,-1.0612014063369557
High,MediumHigh,0,High,50,25,-1.0612014063369557
High,MediumHigh,0,High,50,50,-1.0612014063369557
High,MediumHigh,0,High,50,75,-1.0612014063369557
High,MediumHigh,0,High,50,100,-1.0612014063369557
High,MediumHigh,0,High,83,0,-1.0612014063369557
High,MediumHigh,0,High,83,25,-1.0612014063369557
High,MediumHigh,0,High,83,50,-1.0612014063369557
High,MediumHigh,0,High,83,75,-1.0612014063369557
High,MediumHigh,0,High,83,100,-1.0612014063369557
High,MediumHigh,0,Low,0,0,-1.0612014063369557
High,MediumHigh,0,Low,0,25,-1.0612014063369557
High,MediumHigh,0,Low,0,50,-1.0612014063369557
High,MediumHigh,0,Low,0,75,-1.0612014063369557
High,MediumHigh,0,Low,0,100,-1.0612014063369557
High,MediumHigh,0,Low,20,0,-1.0612014063369557
High,MediumHigh,0,Low,20,25,-1.0612014063369557
High,MediumHigh,0,Low,20,50,-1.0612014063369557
High,MediumHigh,0,Low,20,75,-1.0612014063369557
High,MediumHigh,0,Low,20,100,-1.0612014063369557
High,MediumHigh,0,Low,50,0,-1.0612014063369557
High,MediumHigh,0,Low,50,25,-1.0612014063369557
High,MediumHigh,0,Low,50,50,-1.0612014063369557
High,MediumHigh,0,Low,50,75,-1.0612014063369557
High,MediumHigh,0,Low,50,100,-1.0612014063369557
High,MediumHigh,0,Low,83,0,-1.0612014063369557
High,MediumHigh,0,Low,83,25,-1.0612014063369557
High,MediumHigh,0,Low,83,50,-1.0612014063369557
High,MediumHigh,0,Low,83,75,-1.0612014063369557
High,MediumHigh,0,Low,83,100,-1.0612014063369557
High,MediumHigh,100,High,0,0,-1.0612014063369557
High,MediumHigh,100,High,0,25,-1.0612014063369557
High,MediumHigh,100,High,0,50,-1.0612014063369557
High,MediumHigh,100,High,0,75,-1.0612014063369557
High,MediumHigh,100,High,0,100,-1.0612014063369557
