Production,Productivity,SForest,AD,Sharvest,Rewetting,Total emission,CH4
High,HighLow,0,High,0,0,36095.75687508462,700.0516266416504
High,HighLow,0,High,0,25,36095.94885248114,700.0516266416504
High,HighLow,0,High,0,50,36096.14082987765,700.0516266416504
High,HighLow,0,High,0,75,36096.332807274164,700.0516266416504
High,HighLow,0,High,0,100,36096.52478467068,700.0516266416504
High,HighLow,0,High,20,0,37177.60591872571,700.0516266416504
High,HighLow,0,High,20,25,37177.79789612223,700.0516266416504
High,HighLow,0,High,20,50,37177.989873518745,700.0516266416504
High,HighLow,0,High,20,75,37178.18185091526,700.0516266416504
High,HighLow,0,High,20,100,37178.37382831177,700.0516266416504
High,HighLow,0,High,50,0,38800.37948418692,700.0516266416504
High,HighLow,0,High,50,25,38800.57146158344,700.0516266416504
High,HighLow,0,High,50,50,38800.76343897995,700.0516266416504
High,HighLow,0,High,50,75,38800.95541637646,700.0516266416504
High,HighLow,0,High,50,100,38801.147393772975,700.0516266416504
High,HighLow,0,High,83,0,40585.43040619451,700.0516266416504
High,HighLow,0,High,83,25,40585.62238359103,700.0516266416504
High,HighLow,0,High,83,50,40585.81436098754,700.0516266416504
High,HighLow,0,High,83,75,40586.00633838405,700.0516266416504
High,HighLow,0,High,83,100,40586.198315780566,700.0516266416504
High,HighLow,0,Low,0,0,36096.96052347132,700.0516266416504
High,HighLow,0,Low,0,25,36096.85158877116,700.0516266416504
High,HighLow,0,Low,0,50,36096.742654071,700.0516266416504
High,HighLow,0,Low,0,75,36096.63371937084,700.0516266416504
High,HighLow,0,Low,0,100,36096.52478467068,700.0516266416504
High,HighLow,0,Low,20,0,37178.80956711242,700.0516266416504
High,HighLow,0,Low,20,25,37178.700632412256,700.0516266416504
High,HighLow,0,Low,20,50,37178.591697712094,700.0516266416504
High,HighLow,0,Low,20,75,37178.48276301193,700.0516266416504
High,HighLow,0,Low,20,100,37178.37382831177,700.0516266416504
High,HighLow,0,Low,50,0,38801.58313257362,700.0516266416504
High,HighLow,0,Low,50,25,38801.47419787346,700.0516266416504
High,HighLow,0,Low,50,50,38801.3652631733,700.0516266416504
High,HighLow,0,Low,50,75,38801.25632847314,700.0516266416504
High,HighLow,0,Low,50,100,38801.147393772975,700.0516266416504
High,HighLow,0,Low,83,0,40586.63405458121,700.0516266416504
High,HighLow,0,Low,83,25,40586.52511988105,700.0516266416504
High,HighLow,0,Low,83,50,40586.41618518089,700.0516266416504
High,HighLow,0,Low,83,75,40586.30725048073,700.0516266416504
High,HighLow,0,Low,83,100,40586.198315780566,700.0516266416504
High,HighLow,25,High,0,0,36095.94885248114,700.0516266416504
High,HighLow,25,High,0,25,36096.09283552852,700.0516266416504
High,HighLow,25,High,0,50,36096.236818575904,700.0516266416504
High,HighLow,25,High,0,75,36096.380801623294,700.0516266416504
High,HighLow,25,High,0,100,36096.52478467068,700.0516266416504
High,HighLow,25,High,20,0,37177.79789612223,700.0516266416504
High,HighLow,25,High,20,25,37177.941879169615,700.0516266416504
High,HighLow,25,High,20,50,37178.085862217,700.0516266416504
High,HighLow,25,High,20,75,37178.22984526439,700.0516266416504
High,HighLow,25,High,20,100,37178.37382831177,700.0516266416504
High,HighLow,25,High,50,0,38800.57146158344,700.0516266416504
High,HighLow,25,High,50,25,38800.71544463082,700.0516266416504
High,HighLow,25,High,50,50,38800.8594276782,700.0516266416504
High,HighLow,25,High,50,75,38801.00341072559,700.0516266416504
High,HighLow,25,High,50,100,38801.147393772975,700.0516266416504
High,HighLow,25,High,83,0,36469.46889198142,697.3076668090337
High,HighLow,25,High,83,25,36469.612875028804,697.3076668090337
High,HighLow,25,High,83,50,36469.75685807619,697.3076668090337
High,HighLow,25,High,83,75,36469.90084112358,697.3076668090337
High,HighLow,25,High,83,100,36470.04482417096,697.3076668090337
High,HighLow,25,Low,0,0,36096.85158877116,700.0516266416504
High,HighLow,25,Low,0,25,36096.76988774604,700.0516266416504
High,HighLow,25,Low,0,50,36096.68818672092,700.0516266416504
High,HighLow,25,Low,0,75,36096.6064856958,700.0516266416504
High,HighLow,25,Low,0,100,36096.52478467068,700.0516266416504
High,HighLow,25,Low,20,0,37178.700632412256,700.0516266416504
High,HighLow,25,Low,20,25,37178.61893138714,700.0516266416504
High,HighLow,25,Low,20,50,37178.53723036202,700.0516266416504
High,HighLow,25,Low,20,75,37178.45552933689,700.0516266416504
High,HighLow,25,Low,20,100,37178.37382831177,700.0516266416504
High,HighLow,25,Low,50,0,38801.47419787346,700.0516266416504
High,HighLow,25,Low,50,25,38801.39249684834,700.0516266416504
High,HighLow,25,Low,50,50,38801.31079582322,700.0516266416504
High,HighLow,25,Low,50,75,38801.229094798095,700.0516266416504
High,HighLow,25,Low,50,100,38801.147393772975,700.0516266416504
High,HighLow,25,Low,83,0,40586.52511988105,700.0516266416504
High,HighLow,25,Low,83,25,40586.44341885593,700.0516266416504
High,HighLow,25,Low,83,50,40586.36171783081,700.0516266416504
High,HighLow,25,Low,83,75,40586.280016805686,700.0516266416504
High,HighLow,25,Low,83,100,40586.198315780566,700.0516266416504
High,HighLow,50,High,0,0,36096.14082987765,700.0516266416504
High,HighLow,50,High,0,25,36096.236818575904,700.0516266416504
High,HighLow,50,High,0,50,36096.332807274164,700.0516266416504
High,HighLow,50,High,0,75,36096.42879597242,700.0516266416504
High,HighLow,50,High,0,100,36096.52478467068,700.0516266416504
High,HighLow,50,High,20,0,37177.989873518745,700.0516266416504
High,HighLow,50,High,20,25,37178.085862217,700.0516266416504
High,HighLow,50,High,20,50,37178.18185091526,700.0516266416504
High,HighLow,50,High,20,75,37178.27783961351,700.0516266416504
High,HighLow,50,High,20,100,37178.37382831177,700.0516266416504
High,HighLow,50,High,50,0,38800.76343897995,700.0516266416504
High,HighLow,50,High,50,25,38800.8594276782,700.0516266416504
High,HighLow,50,High,50,50,38800.95541637646,700.0516266416504
High,HighLow,50,High,50,75,38801.051405074715,700.0516266416504
High,HighLow,50,High,50,100,38801.147393772975,700.0516266416504
High,HighLow,50,High,83,0,40585.81436098754,700.0516266416504
High,HighLow,50,High,83,25,40585.91034968579,700.0516266416504
High,HighLow,50,High,83,50,40586.00633838405,700.0516266416504
High,HighLow,50,High,83,75,40586.102327082306,700.0516266416504
High,HighLow,50,High,83,100,40586.198315780566,700.0516266416504
High,HighLow,50,Low,0,0,36096.742654071,700.0516266416504
High,HighLow,50,Low,0,25,36096.68818672092,700.0516266416504
High,HighLow,50,Low,0,50,36096.63371937084,700.0516266416504
High,HighLow,50,Low,0,75,36096.57925202076,700.0516266416504
High,HighLow,50,Low,0,100,36096.52478467068,700.0516266416504
High,HighLow,50,Low,20,0,37178.591697712094,700.0516266416504
High,HighLow,50,Low,20,25,37178.53723036202,700.0516266416504
High,HighLow,50,Low,20,50,37178.48276301193,700.0516266416504
High,HighLow,50,Low,20,75,37178.428295661855,700.0516266416504
High,HighLow,50,Low,20,100,37178.37382831177,700.0516266416504
High,HighLow,50,Low,50,0,38801.3652631733,700.0516266416504
High,HighLow,50,Low,50,25,38801.31079582322,700.0516266416504
High,HighLow,50,Low,50,50,38801.25632847314,700.0516266416504
High,HighLow,50,Low,50,75,38801.20186112306,700.0516266416504
High,HighLow,50,Low,50,100,38801.147393772975,700.0516266416504
High,HighLow,50,Low,83,0,40586.41618518089,700.0516266416504
High,HighLow,50,Low,83,25,40586.36171783081,700.0516266416504
High,HighLow,50,Low,83,50,40586.30725048073,700.0516266416504
