Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|CH4|AFOLU,Mt CH4/yr,,167.6717,179.6356,190.3513,198.5217,152.3684,129.2881,115.4458,103.5424,92.5953,87.0971,88.7903,92.3224,96.7759,98.0924,100.5173,103.2884,104.7226,103.9322,114.1118,114.5658
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.0,SSP1-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,179.5309,,189.7027,,93.4843,,72.9839,,55.7461,,49.7466,,47.33,,44.8234,,43.5865,,40.6235
AIM/CGE 2.0,SSP1-19,World,Population,million,,6490.9879,6879.5896,,7529.2273,,8010.6224,,8332.3655,,8469.1883,,8426.4663,,8229.2513,,7894.6378,,7435.4936,,6881.5846
AIM/CGE 2.0,SSP2-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,181.5943,,197.3551,,109.7343,,89.1707,,73.7326,,71.8572,,72.937,,73.7475,,74.6447,,75.4564
AIM/CGE 2.0,SSP2-19,World,Population,million,,6490.9879,6879.5896,,7623.6572,,8273.4011,,8795.5201,,9172.3104,,9380.9208,,9442.8467,,9383.0055,,9220.2795,,8990.6331
AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Emissions|CH4|AFOLU,Mt CH4/yr,,167.6717,179.4996,189.7452,199.467,164.7312,144.0389,126.9918,117.4147,105.0046,94.8671,97.5437,101.1924,104.8786,108.5089,110.8087,110.0146,110.2309,111.743,112.8081,109.6214
AIM/CGE 2.1,CD-LINKS_NPi2020_400,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,World,Emissions|CH4|AFOLU,Mt CH4/yr,,167.6717,179.4562,190.5778,201.6504,168.721,145.7908,128.0201,123.9474,122.7578,123.5266,132.2198,136.4148,139.0675,140.1817,139.1622,138.4923,134.9524,130.1989,121.9929,120.3372
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,World,Agricultural Production,million t DM/yr,,3501.0726,3764.3687,4033.4012,4317.5227,4603.6493,5000.649,6300.3686,7466.0859,8482.8317,9200.5757,9874.6897,10942.9698,12089.2262,12743.2892,13125.0062,13450.8331,13490.7567,13339.6476,12794.9621,12593.1923
