Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Emissions|CH4|AFOLU,Mt CH4/yr,,167.6717,179.6356,190.3477,198.6378,166.0924,150.522,136.9777,131.5567,127.9118,124.7112,127.5684,126.2142,123.7361,129.4025,134.3096,138.9301,143.065,144.8192,144.7423,143.2036
AIM/CGE 2.0,ADVANCE_2020_WB2C,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Emissions|CH4|AFOLU,Mt CH4/yr,,167.6717,179.5547,190.9167,199.0783,202.0344,201.0602,135.1211,123.1557,111.9452,105.6943,108.0391,111.9183,116.3388,118.2112,119.6022,122.622,124.4502,124.2957,133.4108,134.156
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|CH4|AFOLU,Mt CH4/yr,,167.6717,179.6357,190.3477,199.2971,201.1108,201.279,153.4672,137.8263,119.0022,113.7641,114.7165,112.3898,105.5738,110.8252,116.8317,121.9914,126.1736,127.9594,127.7344,125.7225
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,182.2011,182.9666,186.6009,165.0684,146.4529,137.534,128.5986,122.6588,117.1339,119.1543,120.6512,122.498,123.1824,125.1617,127.5968,129.9426,131.9894,133.7834,135.3573
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,World,Agricultural Production,million t DM/yr,,3501.0726,3780.9287,4062.0315,4358.0519,4712.4616,5668.5337,6879.0306,8874.415,9769.1658,10011.1115,10745.2105,11760.5425,12650.005,12972.9829,13284.4517,13651.8339,14029.4224,14395.8281,14758.8826,15123.9177
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,182.2389,185.0589,190.3018,167.9709,148.2791,139.5678,130.3721,123.6809,115.5155,116.8673,116.702,118.0319,114.7721,116.477,118.6968,120.5665,121.8093,122.5652,122.5566
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,World,Agricultural Production,million t DM/yr,,3501.0726,3789.828,4071.9759,4371.5884,4707.8016,5505.9347,6447.7069,7917.1818,8601.3818,8933.7289,9395.1521,10079.8719,10571.1272,10554.9719,10625.0637,10749.3916,10858.767,10970.9407,11073.3651,11127.8096
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,180.3666,180.7875,183.3838,160.3335,140.7791,131.4627,122.0093,115.2328,108.2275,109.2153,109.4942,110.5073,109.821,111.1101,112.7861,114.4241,115.7863,116.909,117.8518
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,World,Agricultural Production,million t DM/yr,,3501.0726,3776.6407,4042.569,4323.1608,4647.9815,5460.7221,6446.0473,8055.9839,8818.5721,9113.7707,9701.6527,10563.013,11258.5134,11472.1322,11684.7615,11970.9102,12256.3853,12527.3419,12789.3277,13037.6106
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,182.2014,182.9851,186.6312,165.1638,146.6105,137.7108,128.4986,121.9627,114.7371,116.4779,117.3109,119.0021,118.1652,120.0571,122.3167,124.5096,126.3349,127.8438,129.1334
