Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,EMF33_WB2C_cost100,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.1,EMF33_WB2C_cost100,World,Agricultural Production,million t DM/yr,,3501.0726,3765.3982,4039.7889,4327.1669,4600.1275,4942.3812,5826.8493,6917.9748,7766.1607,8281.8087,8784.0497,9696.3018,10535.7598,10825.021,11092.8986,11405.8619,11701.1472,11991.3935,12251.4049,12531.0665
C-ROADS-5.005,Ratchet-1.5-allCDR,World,Population,million,,6541.35,6957.32,7382.13,7794.57,8184.67,8550.23,8891.71,9209.32,9503.18,9770.79,10010.1,10221.6,10408.8,10574.8,10721,10847.7,10956.6,11049.1,11125.1,11183.4
C-ROADS-5.005,Ratchet-1.5-limCDR,World,Population,million,,6541.35,6957.32,7382.13,7794.57,8184.67,8550.23,8891.71,9209.32,9503.18,9770.79,10010.1,10221.6,10408.8,10574.8,10721,10847.7,10956.6,11049.1,11125.1,11183.4
GCAM 4.2,SSP2-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,163.0791555,175.1418408,,193.0740847,,200.5752223,,215.2490204,,230.1660498,,234.7074991,,238.906476,,241.6005861,,239.2523677,,233.0802514
GCAM 4.2,SSP2-19,World,Population,million,,6506.642,6895.882,,7639.358,,8289.389,,8812.63,,9190.938,,9401.596,,9466.277,,9409.758,,9250.717,,9024.486
GCAM 4.2,SSP5-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,163.0791555,175.1418408,,187.3081003,,181.7640454,,185.4817534,,186.1726005,,178.0334038,,170.388386,,166.4806813,,158.894124,,150.4176661
GCAM 4.2,SSP5-19,World,Population,million,,6506.642,6895.882,,7553.728,,8056.042,,8406.413,,8584.224,,8597.035,,8466.894,,8211.485,,7843.622,,7388.514
IMAGE 3.0.1,ADVANCE_2020_1.5C-2100,World,Emissions|CH4|AFOLU,Mt CH4/yr,,154.7816857,165.7603805,167.1808727,173.3462946,158.551518,147.7176967,139.64732,131.2414782,126.8026571,123.5074482,120.7350919,116.909164,115.5689549,114.3711698,113.8169811,113.2277303,112.1502658,111.0468582,109.5523926,108.3800514
IMAGE 3.0.1,ADVANCE_2020_1.5C-2100,World,Population,million,,6530.547852,6921.797852,7302.094238,7671.501953,8015.398926,8327.682617,8608.792969,8857.175781,9069.899414,9242.542969,9372.134766,9459.967773,9511.283203,9531.094727,9520.347656,9480.227539,9413.564453,9325.707031,9221.214844,9103.234375
IMAGE 3.0.1,CD-LINKS_NPi2020_400,World,Emissions|CH4|AFOLU,Mt CH4/yr,,154.106974,164.2250139,170.3788244,175.246506,154.6097932,146.8371699,139.1482645,130.9825073,127.5229504,129.0132082,,117.1282852,,114.6845189,,113.2351636,,111.350996,,108.4788181
IMAGE 3.0.1,CD-LINKS_NPi2020_400,World,Population,million,,6530.547852,6921.797852,7302.094238,7671.501953,8015.398926,8327.682617,8608.792969,8857.175781,9069.899414,9242.542969,,9459.967773,,9531.094727,,9480.227539,,9325.707031,,9103.234375
IMAGE 3.0.1,IMA15-LoNCO2,World,Emissions|CH4|AFOLU,Mt CH4/yr,,153.871236,164.7513205,163.1145058,161.6168807,150.2420869,141.4715199,136.5340781,114.3495445,91.99480391,72.58986187,,56.9102124,,44.9479785,,40.88949919,,37.76549765,,31.54782391
IMAGE 3.0.1,IMA15-LoNCO2,World,Population,million,,6530.547852,6921.797852,7302.094238,7671.501953,8015.398926,8327.682617,8608.792969,8857.175781,9069.899414,9242.542969,,9459.967773,,9531.094727,,9480.227539,,9325.707031,,9103.234375
IMAGE 3.0.1,IMA15-LoNCO2,World,Agricultural Production,million t DM/yr,,3228.591,3610.167,3989.311,4302.71,4500.824,4711.97,4912.661,4946.633,5105.351,5296.681,,5951.132,,6620.521,,7283.527,,8509.235,,8747.4
IMAGE 3.0.1,IMA15-RenElec,World,Emissions|CH4|AFOLU,Mt CH4/yr,,153.8650461,164.7372231,170.4397177,159.9346756,152.6239228,142.0925436,132.7188807,125.9807503,120.3281524,119.8234551,,115.5812755,,112.5378523,,109.5195985,,106.6217687,,104.2940775
IMAGE 3.0.1,IMA15-RenElec,World,Population,million,,6530.547852,6921.797852,7302.094238,7671.501953,8015.398926,8327.682617,8608.792969,8857.175781,9069.899414,9242.542969,,9459.967773,,9531.094727,,9480.227539,,9325.707031,,9103.234375
IMAGE 3.0.1,IMA15-RenElec,World,Agricultural Production,million t DM/yr,,3228.595,3610.176,3989.649,4311.059,4675.567,4858.742,4884.067,5050.331,5750.231,7129.261,,8652.509,,10184.61,,11101.1,,11665.33,,12137.36
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Price1.5C,World,Emissions|CH4|AFOLU,Mt CH4/yr,,147.7614517,149.3938373,,152.6369521,,156.2355406,,132.6900112,,113.8492749,,99.2966524,,89.4654407,,82.7573967,,77.7188018,,73.8847349
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Price1.5C,World,Population,million,,6503.13,6867.39,,7611.25,,8261.99,,8787.12,,9169.11,,9384.7,,9456.88,,9407.26,,9253.95,,9032.42
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_cost100,World,Population,million,6119.419922,6503.129883,6867.390137,,7611.25,,8261.990234,,8787.120117,,9169.110352,,9384.700195,,9456.879883,,9407.259766,,9253.950195,,9032.419922
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_cost100,World,Agricultural Production,million t DM/yr,2714.573242,3417.020996,4119.476074,,4879.030273,,6357.365234,,7509.535156,,8736.048828,,10509.63281,,11965.89258,,13267.66797,,14197.51367,,14790.02637
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_full,World,Population,million,6119.419922,6503.129883,6867.390137,,7611.25,,8261.990234,,8787.120117,,9169.110352,,9384.700195,,9456.879883,,9407.259766,,9253.950195,,9032.419922
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_full,World,Agricultural Production,million t DM/yr,2714.573242,3417.020996,4119.476074,,4879.030273,,6358.018555,,7558.34375,,8971.697266,,10667.5918,,12069.40234,,13342.38379,,14242.98535,,14816.87305
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_limbio,World,Population,million,6119.419922,6503.129883,6867.390137,,7611.25,,8261.990234,,8787.120117,,9169.110352,,9384.700195,,9456.879883,,9407.259766,,9253.950195,,9032.419922
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_limbio,World,Agricultural Production,million t DM/yr,2714.573242,3417.020996,4119.476074,,4879.030273,,5955.778809,,7213.337891,,8422.600586,,9489.835938,,9685.775391,,9918.761719,,10109.6748,,10122.63477
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_nofuel,World,Population,million,6119.419922,6503.129883,6867.390137,,7611.25,,8261.990234,,8787.120117,,9169.110352,,9384.700195,,9456.879883,,9407.259766,,9253.950195,,9032.419922
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_nofuel,World,Agricultural Production,million t DM/yr,2714.573242,3417.020996,4119.476074,,4879.030273,,6357.488281,,7557.888672,,8799.578125,,10551.24805,,11998.18555,,13285.80273,,14128.5166,,14753.625
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_400,World,Emissions|CH4|AFOLU,Mt CH4/yr,146.1273329,148.4991876,150.8673484,,157.9573526,,137.16668,,116.9768229,,100.9320312,,87.47274908,,76.29986608,,68.40710106,,62.19536216,,57.12434922
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_400,World,Population,million,6119.419922,6503.129883,6867.390137,,7611.25,,8261.990234,,8787.120117,,9169.110352,,9384.700195,,9456.879883,,9407.259766,,9253.950195,,9032.419922
POLES ADVANCE,ADVANCE_2020_WB2C,World,Emissions|CH4|AFOLU,Mt CH4/yr,,142.1919405,147.515869,152.1450238,157.1981667,134.9890238,117.7245714,103.8859881,99.46016667,95.11477976,90.80205952,84.57925595,83.6404881,83.1095119,82.63324405,82.1816131,81.72408929,81.5225,81.26776786,81.11080952,81.05638095
POLES ADVANCE,ADVANCE_2020_WB2C,World,Population,million,,6519.617,6930.114,7352.163,7762.174,8147.587,8509.445,8851.287,9173.93,9474.89,9750.042,9997.394,10216.471,10407.837,10580.054,10733.665,10868.609,10985.482,11087.241,11174.48,11245.415
